,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,2163,10,-419,-4849,22,-90,-38,35
1,2151,-3,-449,-4872,22,-85,-37,33
2,2166,-6,-434,-4872,22,-93,-41,31
3,2171,5,-420,-4873,22,-86,-37,34
4,2153,4,-415,-4874,22,-85,-36,36
5,2147,-1,-429,-4872,22,-88,-38,35
6,2152,0,-431,-4869,22,-89,-37,29
7,2157,2,-420,-4872,22,-87,-42,30
8,2156,2,-437,-4871,22,-86,-34,32
9,2150,6,-418,-4881,22,-88,-40,39
10,2158,0,-406,-4872,22,-85,-38,34
11,2163,4,-421,-4875,22,-87,-35,37
12,2160,8,-423,-4865,22,-86,-39,37
13,2163,4,-424,-4863,22,-84,-42,37
14,2160,3,-433,-4870,22,-87,-38,34
15,2155,-9,-439,-4863,22,-86,-43,37
16,2145,5,-414,-4878,22,-84,-37,33
17,2156,5,-442,-4862,22,-86,-38,34
18,2164,-3,-429,-4877,22,-85,-39,38
19,2155,6,-428,-4852,22,-86,-39,36
20,2160,10,-438,-4864,22,-87,-36,33
21,2150,9,-410,-4877,22,-90,-38,34
22,2165,0,-436,-4874,22,-88,-40,30
23,2161,-8,-422,-4858,22,-86,-38,34
24,2147,9,-430,-4854,22,-84,-31,35
25,2167,-8,-429,-4866,22,-86,-37,35
26,2163,-3,-413,-4869,22,-87,-36,33
27,2149,3,-423,-4867,22,-90,-38,36
28,2153,0,-415,-4867,22,-86,-42,34
29,2164,-2,-437,-4870,22,-87,-42,33
30,2164,0,-422,-4850,22,-84,-37,37
31,2155,0,-419,-4865,22,-87,-32,35
32,2163,-3,-416,-4855,22,-88,-40,35
33,2158,0,-436,-4859,22,-86,-44,31
34,2162,2,-427,-4853,22,-87,-34,38
35,2163,-4,-437,-4850,22,-87,-38,34
36,2166,-16,-414,-4871,22,-86,-34,32
37,2157,7,-428,-4850,22,-90,-43,34
38,2161,0,-427,-4856,22,-89,-37,36
39,2157,-4,-416,-4876,22,-92,-37,34
40,2158,0,-413,-4855,22,-86,-36,36
41,2164,9,-434,-4869,22,-87,-34,35
42,2157,5,-426,-4858,22,-88,-34,36
43,2163,0,-426,-4855,22,-84,-39,35
44,2162,-7,-402,-4866,22,-84,-38,37
45,2154,9,-450,-4860,22,-87,-40,31
46,2155,3,-440,-4866,22,-89,-35,39
47,2166,-1,-418,-4865,22,-82,-41,33
48,2162,3,-420,-4861,22,-91,-34,34
49,2164,-6,-420,-4857,22,-85,-38,34
50,2153,1,-431,-4853,22,-85,-41,37
51,2159,5,-422,-4857,22,-85,-38,35
52,2165,2,-429,-4866,22,-90,-40,34
53,2158,1,-435,-4861,22,-84,-43,36
54,2152,5,-423,-4863,22,-86,-37,32
55,2160,4,-422,-4849,22,-88,-37,33
56,2158,12,-434,-4842,22,-87,-37,34
57,2164,4,-411,-4862,22,-87,-41,32
58,2159,-1,-422,-4856,22,-86,-40,36
59,2167,6,-432,-4863,22,-86,-41,34
60,2160,-1,-435,-4835,22,-91,-38,32
61,2166,1,-419,-4862,22,-85,-39,36
62,2151,5,-416,-4843,22,-87,-34,33
63,2158,12,-421,-4848,22,-84,-39,33
64,2163,9,-427,-4849,22,-87,-33,36
65,2165,6,-424,-4873,22,-87,-35,38
66,2157,-4,-433,-4860,22,-90,-37,31
67,2152,-9,-430,-4836,22,-87,-35,32
68,2157,12,-431,-4850,22,-87,-38,36
69,2155,7,-420,-4861,22,-88,-41,33
70,2159,2,-427,-4860,22,-82,-38,37
71,2161,0,-413,-4851,22,-85,-35,34
72,2170,1,-429,-4850,22,-86,-35,38
73,2161,-2,-428,-4845,22,-87,-37,31
74,2157,7,-422,-4858,22,-87,-39,33
75,2161,-3,-417,-4849,22,-89,-38,32
76,2155,5,-418,-4844,22,-87,-37,36
77,2157,0,-424,-4826,22,-85,-37,35
78,2157,-5,-418,-4847,22,-83,-38,35
79,2161,1,-428,-4854,22,-87,-35,36
80,2154,5,-430,-4838,22,-87,-37,30
81,2163,2,-422,-4838,22,-89,-38,36
82,2155,3,-425,-4843,22,-84,-39,32
83,2158,3,-421,-4840,22,-91,-39,32
84,2158,-2,-422,-4841,22,-88,-38,32
85,2157,7,-425,-4851,22,-83,-36,29
86,2169,11,-437,-4846,22,-85,-34,36
87,2154,4,-436,-4854,22,-84,-31,35
88,2166,7,-420,-4848,22,-87,-39,33
89,2157,-2,-420,-4842,22,-87,-38,36
90,2154,3,-416,-4854,22,-85,-33,32
91,2153,4,-409,-4835,22,-85,-39,33
92,2164,1,-424,-4840,22,-85,-34,34
93,2167,1,-424,-4851,22,-85,-38,35
94,2171,-8,-439,-4835,22,-88,-36,28
95,2162,0,-433,-4833,22,-81,-37,32
96,2160,-12,-424,-4839,22,-88,-40,33
97,2157,17,-402,-4833,22,-85,-38,33
98,2157,4,-437,-4836,22,-86,-39,34
99,2158,2,-435,-4853,22,-88,-39,34
100,2164,7,-428,-4839,22,-83,-38,36
101,2149,4,-426,-4825,22,-86,-38,34
102,2166,-1,-418,-4841,22,-84,-38,36
103,2156,3,-418,-4844,22,-89,-39,36
104,2161,2,-421,-4820,22,-82,-41,39
105,2157,9,-430,-4815,22,-83,-38,35
106,2158,1,-426,-4844,22,-86,-43,36
107,2154,0,-427,-4837,22,-88,-36,37
108,2162,-1,-439,-4839,22,-87,-40,35
109,2166,2,-426,-4848,22,-82,-40,32
110,2159,5,-424,-4827,22,-84,-38,35
111,2153,-1,-418,-4841,22,-89,-40,35
112,2161,-12,-427,-4855,22,-89,-36,33
113,2154,-3,-419,-4844,22,-87,-36,30
114,2154,0,-425,-4843,22,-87,-34,35
115,2155,2,-438,-4864,22,-87,-38,32
116,2161,-7,-422,-4834,22,-84,-43,39
117,2156,3,-431,-4847,22,-83,-36,40
118,2162,-11,-416,-4841,22,-87,-34,34
119,2153,11,-415,-4855,22,-85,-38,34
120,2147,8,-429,-4823,22,-87,-38,38
121,2149,-1,-405,-4850,22,-82,-39,38
122,2156,-3,-426,-4836,22,-92,-37,33
123,2154,4,-415,-4846,22,-87,-39,39
124,2164,6,-420,-4829,22,-85,-40,32
125,2158,3,-414,-4839,22,-87,-41,31
126,2160,1,-416,-4830,22,-88,-37,34
127,2164,6,-414,-4834,22,-86,-37,33
128,2162,5,-421,-4842,22,-89,-35,34
129,2170,2,-424,-4843,22,-85,-36,32
130,2160,8,-422,-4845,22,-87,-37,33
131,2152,-5,-429,-4835,22,-87,-38,33
132,2154,4,-427,-4826,22,-86,-39,36
133,2160,-6,-431,-4844,22,-88,-41,34
134,2160,0,-429,-4835,22,-86,-39,34
135,2159,9,-424,-4843,22,-85,-36,31
136,2169,-2,-414,-4832,22,-87,-40,33
137,2162,-5,-416,-4834,22,-83,-36,33
138,2164,0,-415,-4837,22,-84,-35,38
139,2155,-1,-423,-4845,22,-87,-36,32
140,2167,13,-421,-4837,22,-89,-40,30
141,2164,-1,-422,-4828,22,-85,-38,38
142,2154,-5,-422,-4833,22,-89,-30,34
143,2157,0,-432,-4848,22,-88,-39,33
144,2159,-2,-437,-4819,22,-90,-37,37
145,2153,-1,-425,-4838,22,-86,-39,33
146,2161,-3,-422,-4851,22,-87,-40,36
147,2160,-10,-416,-4841,22,-87,-45,32
148,2155,-4,-416,-4825,22,-83,-38,33
149,2162,10,-417,-4827,22,-89,-39,34
150,2161,11,-415,-4830,22,-84,-38,34
151,2158,-7,-421,-4831,22,-89,-34,35
152,2161,-14,-425,-4824,22,-83,-39,35
153,2174,-1,-429,-4818,22,-88,-39,35
154,2153,4,-434,-4815,22,-86,-39,32
155,2166,7,-424,-4823,22,-85,-39,34
156,2159,12,-424,-4842,22,-89,-34,34
157,2161,2,-429,-4841,22,-89,-40,34
158,2159,-6,-422,-4846,22,-85,-42,36
159,2161,2,-429,-4825,22,-88,-36,36
160,2167,-10,-428,-4830,22,-84,-38,34
161,2154,0,-424,-4808,22,-89,-35,37
162,2163,2,-426,-4827,22,-85,-35,35
163,2163,5,-429,-4833,22,-87,-37,37
