,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,8615,-25,-1664,-4691,23,-171,-66,66
1,8593,5,-1718,-4687,23,-180,-72,65
2,8655,44,-1673,-4687,23,-172,-85,71
3,8671,-20,-1762,-4687,23,-179,-81,60
4,8646,-30,-1668,-4693,23,-174,-71,69
5,8640,-7,-1628,-4683,23,-173,-74,62
6,8640,22,-1692,-4692,23,-172,-72,74
7,8637,15,-1729,-4682,23,-168,-78,70
8,8611,-24,-1682,-4687,23,-174,-70,75
9,8635,-12,-1731,-4667,23,-175,-73,68
10,8651,-10,-1782,-4687,23,-176,-75,66
11,8612,1,-1664,-4696,23,-185,-72,70
12,8612,-18,-1688,-4669,23,-176,-74,69
13,8608,7,-1726,-4694,23,-176,-76,70
14,8646,-12,-1665,-4684,23,-167,-79,72
15,8685,27,-1655,-4707,23,-169,-73,63
16,8614,-7,-1753,-4689,23,-179,-72,63
17,8672,28,-1762,-4680,23,-172,-84,73
18,8668,9,-1691,-4690,23,-187,-74,66
19,8615,-4,-1667,-4688,23,-179,-69,66
20,8628,69,-1736,-4676,23,-170,-86,73
21,8656,25,-1709,-4687,23,-174,-86,67
22,8618,24,-1725,-4699,23,-174,-80,70
23,8631,-1,-1611,-4693,23,-184,-80,70
24,8657,-6,-1662,-4681,23,-175,-77,69
25,8597,-10,-1662,-4698,23,-179,-71,67
26,8648,37,-1681,-4699,23,-172,-74,72
27,8614,-25,-1699,-4687,23,-173,-81,71
28,8634,18,-1741,-4692,23,-181,-74,69
29,8642,11,-1690,-4689,23,-165,-80,68
30,8666,55,-1699,-4687,23,-174,-69,66
31,8644,-20,-1766,-4693,23,-178,-66,69
32,8625,29,-1730,-4694,23,-172,-76,78
33,8608,4,-1662,-4694,23,-179,-77,75
34,8673,24,-1624,-4695,23,-175,-75,73
35,8646,10,-1701,-4688,23,-183,-82,69
36,8653,3,-1714,-4687,23,-172,-74,72
37,8645,10,-1712,-4677,23,-175,-73,75
38,8636,-14,-1665,-4685,23,-173,-76,70
39,8663,-14,-1764,-4689,23,-172,-78,71
40,8642,11,-1697,-4691,23,-168,-80,65
41,8655,-24,-1661,-4693,23,-175,-72,74
42,8595,-1,-1715,-4686,23,-167,-71,71
43,8634,22,-1678,-4695,23,-169,-70,73
44,8657,8,-1675,-4681,23,-171,-80,66
45,8664,16,-1697,-4688,23,-175,-70,68
46,8563,10,-1793,-4687,23,-173,-81,64
47,8629,24,-1750,-4692,23,-173,-82,69
48,8603,-40,-1681,-4694,23,-175,-80,71
49,8622,-33,-1692,-4677,23,-178,-63,71
50,8632,-5,-1738,-4688,23,-174,-74,66
51,8642,36,-1680,-4681,23,-177,-81,67
52,8630,-18,-1703,-4705,23,-172,-67,75
53,8657,-10,-1717,-4693,23,-167,-74,73
54,8646,44,-1656,-4685,23,-176,-73,65
55,8680,4,-1686,-4673,23,-175,-78,75
56,8635,-3,-1681,-4699,23,-169,-68,71
57,8648,8,-1672,-4694,23,-179,-73,75
58,8649,38,-1726,-4678,23,-174,-72,76
59,8623,24,-1665,-4684,23,-167,-70,68
60,8616,-18,-1649,-4686,23,-178,-81,70
61,8642,-9,-1662,-4696,23,-177,-68,70
62,8642,4,-1689,-4694,23,-177,-69,71
63,8589,25,-1711,-4696,23,-177,-77,72
64,8660,21,-1713,-4685,23,-167,-83,69
65,8673,1,-1687,-4683,23,-163,-74,78
66,8625,2,-1697,-4677,23,-169,-68,75
67,8672,-13,-1685,-4684,23,-166,-71,68
68,8654,32,-1651,-4700,23,-173,-78,74
69,8661,-5,-1763,-4700,23,-182,-70,70
70,8662,38,-1708,-4700,23,-167,-76,72
71,8635,-11,-1729,-4696,23,-175,-73,70
72,8643,29,-1697,-4685,23,-168,-83,67
73,8597,-26,-1732,-4692,23,-164,-82,76
74,8648,14,-1687,-4694,23,-174,-80,74
75,8617,4,-1628,-4696,23,-173,-80,71
76,8648,6,-1706,-4691,23,-170,-78,71
77,8655,-33,-1733,-4693,23,-166,-75,57
78,8636,42,-1712,-4701,23,-167,-76,66
79,8593,-17,-1694,-4695,23,-176,-69,69
80,8646,13,-1727,-4690,23,-168,-69,72
81,8636,35,-1683,-4682,23,-173,-76,72
82,8632,1,-1726,-4686,23,-172,-76,70
83,8667,-35,-1670,-4688,23,-171,-78,66
84,8633,9,-1660,-4683,23,-175,-78,72
85,8665,24,-1700,-4694,23,-170,-65,72
86,8618,-13,-1701,-4687,23,-176,-74,68
87,8616,36,-1718,-4692,23,-180,-86,77
88,8669,-22,-1704,-4698,23,-167,-78,77
89,8632,38,-1699,-4715,23,-176,-76,77
90,8666,-32,-1717,-4683,23,-170,-76,67
91,8645,8,-1665,-4690,23,-172,-75,61
92,8653,-21,-1690,-4694,23,-173,-82,69
93,8627,21,-1652,-4685,23,-167,-78,73
94,8634,40,-1736,-4685,23,-180,-67,70
95,8621,36,-1625,-4682,23,-176,-73,71
96,8627,15,-1781,-4687,23,-175,-75,75
97,8662,19,-1693,-4701,23,-177,-69,69
98,8675,-37,-1706,-4685,23,-173,-78,67
99,8645,58,-1812,-4683,23,-174,-82,68
100,8614,19,-1694,-4689,23,-171,-73,70
101,8669,19,-1640,-4695,23,-181,-71,64
102,8621,-29,-1723,-4685,23,-185,-83,64
103,8614,23,-1754,-4691,23,-167,-83,79
104,8628,7,-1709,-4695,23,-172,-78,80
105,8631,-19,-1671,-4702,23,-167,-80,67
106,8596,7,-1670,-4691,23,-181,-76,67
107,8629,14,-1692,-4683,23,-167,-77,66
108,8634,-4,-1652,-4695,23,-170,-74,70
109,8630,-1,-1693,-4690,23,-171,-74,65
110,8629,-29,-1729,-4697,23,-181,-76,65
111,8674,-32,-1710,-4694,23,-177,-75,66
112,8653,6,-1703,-4689,23,-175,-80,62
113,8653,-18,-1739,-4698,23,-173,-76,69
114,8650,30,-1671,-4685,23,-187,-77,64
115,8649,10,-1725,-4702,23,-179,-72,63
116,8676,22,-1700,-4685,23,-176,-79,66
117,8652,-5,-1671,-4683,23,-176,-66,69
118,8629,19,-1661,-4695,23,-175,-77,68
119,8627,2,-1701,-4694,23,-174,-73,71
120,8626,-19,-1726,-4692,23,-169,-83,69
121,8644,13,-1678,-4682,23,-187,-73,70
122,8611,10,-1689,-4702,23,-182,-85,67
123,8615,-48,-1653,-4692,23,-169,-75,80
124,8654,-22,-1665,-4684,23,-166,-72,69
125,8614,42,-1639,-4686,23,-171,-81,75
126,8645,-18,-1669,-4699,23,-161,-72,65
127,8619,-23,-1735,-4685,23,-179,-74,68
128,8643,7,-1737,-4683,23,-183,-77,65
129,8644,26,-1678,-4697,23,-169,-70,69
130,8665,-8,-1705,-4687,23,-172,-72,65
131,8680,-2,-1651,-4688,23,-178,-87,66
132,8620,24,-1760,-4694,23,-173,-73,69
133,8618,16,-1677,-4684,23,-172,-70,79
134,8637,-14,-1714,-4691,23,-179,-71,76
135,8607,24,-1689,-4682,23,-183,-77,68
