,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,8624,6,-1698,-4742,23,-88,-36,33
1,8616,-18,-1653,-4735,23,-89,-41,32
2,8664,29,-1697,-4736,23,-84,-37,32
3,8662,12,-1727,-4745,23,-84,-37,34
4,8653,0,-1661,-4741,23,-89,-39,35
5,8619,-6,-1690,-4741,23,-88,-38,35
6,8635,6,-1676,-4751,23,-86,-38,32
7,8669,2,-1762,-4741,23,-84,-38,37
8,8627,9,-1686,-4748,23,-92,-41,33
9,8657,10,-1666,-4745,23,-88,-39,34
10,8645,-8,-1660,-4752,23,-84,-36,34
11,8644,32,-1689,-4745,23,-88,-40,34
12,8614,-39,-1691,-4732,23,-89,-40,35
13,8638,3,-1660,-4740,23,-88,-41,33
14,8632,-13,-1682,-4747,23,-85,-40,30
15,8666,-4,-1676,-4743,23,-85,-36,33
16,8634,-17,-1727,-4750,23,-88,-38,34
17,8623,19,-1679,-4745,23,-90,-38,32
18,8620,7,-1729,-4733,23,-87,-38,32
19,8613,-3,-1629,-4751,23,-92,-38,35
20,8633,-1,-1662,-4730,23,-84,-38,37
21,8608,-8,-1690,-4757,23,-89,-39,31
22,8609,16,-1688,-4739,23,-83,-38,34
23,8653,10,-1621,-4734,23,-87,-41,33
24,8642,-59,-1714,-4744,23,-85,-40,33
25,8628,19,-1683,-4754,23,-89,-38,35
26,8632,21,-1689,-4743,23,-87,-38,35
27,8639,-1,-1689,-4731,23,-93,-37,35
28,8636,8,-1720,-4731,23,-87,-36,39
29,8644,-4,-1640,-4731,23,-86,-37,37
30,8623,9,-1664,-4734,23,-81,-41,40
31,8658,32,-1738,-4739,23,-88,-41,35
32,8638,17,-1660,-4740,23,-85,-38,33
33,8607,40,-1696,-4740,23,-89,-38,36
34,8663,-46,-1745,-4730,23,-88,-36,37
35,8605,42,-1702,-4741,23,-85,-37,32
36,8643,29,-1673,-4747,23,-85,-41,36
37,8663,-30,-1676,-4749,23,-89,-36,36
38,8644,14,-1727,-4746,23,-84,-40,36
39,8643,-15,-1714,-4755,23,-86,-39,39
40,8643,-6,-1680,-4742,23,-84,-37,33
41,8626,-47,-1730,-4745,23,-90,-35,33
42,8622,50,-1724,-4736,23,-81,-39,32
43,8614,31,-1670,-4732,23,-84,-37,34
44,8590,-21,-1692,-4743,23,-84,-40,39
45,8657,7,-1729,-4745,23,-87,-39,34
46,8619,-23,-1669,-4747,23,-86,-40,32
47,8659,9,-1758,-4743,23,-88,-38,36
48,8617,8,-1730,-4739,23,-87,-38,35
49,8619,28,-1637,-4742,23,-86,-37,35
50,8656,45,-1713,-4734,23,-84,-38,34
51,8646,34,-1713,-4746,23,-93,-36,33
52,8620,-9,-1701,-4739,23,-89,-35,37
53,8650,9,-1707,-4745,23,-86,-39,33
54,8687,3,-1682,-4741,23,-84,-37,31
55,8670,29,-1671,-4759,23,-86,-36,34
56,8665,30,-1666,-4744,23,-86,-38,32
57,8629,12,-1722,-4735,23,-86,-33,33
58,8663,7,-1645,-4735,23,-89,-41,34
59,8630,-49,-1649,-4749,23,-88,-40,36
60,8612,6,-1714,-4755,23,-82,-40,34
61,8638,23,-1700,-4742,23,-91,-34,36
62,8619,-25,-1701,-4749,23,-82,-39,34
63,8629,16,-1683,-4736,23,-87,-37,35
64,8652,-35,-1674,-4743,23,-86,-41,40
65,8662,35,-1623,-4724,23,-85,-37,31
66,8628,8,-1718,-4732,23,-89,-35,34
67,8668,32,-1733,-4738,23,-87,-37,35
68,8689,-5,-1698,-4740,23,-91,-42,34
69,8667,16,-1713,-4737,23,-88,-41,34
70,8680,11,-1664,-4744,23,-88,-37,38
71,8701,3,-1708,-4733,23,-93,-39,37
72,8645,21,-1751,-4752,23,-89,-40,36
73,8624,-21,-1668,-4735,23,-89,-37,27
74,8586,-13,-1740,-4735,23,-84,-38,33
75,8594,-16,-1655,-4734,23,-84,-40,35
76,8652,20,-1671,-4749,23,-90,-36,37
77,8652,30,-1720,-4746,23,-83,-36,36
78,8645,1,-1691,-4725,23,-90,-39,33
79,8637,5,-1735,-4751,23,-89,-35,34
80,8621,33,-1718,-4747,23,-89,-41,33
81,8649,-4,-1675,-4722,23,-82,-35,34
82,8648,5,-1733,-4737,23,-86,-41,30
83,8642,15,-1685,-4745,23,-86,-39,36
84,8643,13,-1728,-4731,23,-84,-40,41
85,8619,7,-1722,-4740,23,-87,-38,33
86,8625,12,-1655,-4736,23,-89,-41,37
87,8651,-16,-1731,-4748,23,-89,-38,37
88,8634,3,-1730,-4737,23,-88,-42,30
89,8647,21,-1689,-4747,23,-85,-42,32
90,8616,-20,-1658,-4742,23,-90,-38,36
