,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,17244,34,-3436,-4913,22,-45,-19,17
1,17260,24,-3428,-4913,22,-44,-19,17
2,17280,2,-3438,-4914,22,-43,-19,17
3,17256,18,-3462,-4910,22,-43,-19,17
4,17264,-6,-3442,-4915,22,-43,-18,17
5,17262,30,-3420,-4910,22,-43,-18,17
6,17260,32,-3446,-4915,22,-43,-18,17
7,17302,16,-3446,-4916,22,-43,-18,18
8,17262,28,-3468,-4914,22,-43,-18,17
9,17228,56,-3470,-4916,22,-43,-18,17
10,17244,44,-3468,-4911,22,-43,-18,16
11,17236,24,-3460,-4911,22,-43,-18,17
12,17256,26,-3438,-4907,22,-43,-19,17
13,17262,34,-3446,-4904,22,-43,-18,17
14,17262,28,-3430,-4907,22,-44,-19,16
15,17288,36,-3440,-4906,22,-43,-19,17
16,17282,10,-3456,-4911,22,-44,-18,17
17,17274,0,-3436,-4907,22,-43,-18,17
18,17254,14,-3424,-4909,22,-43,-19,17
19,17246,12,-3470,-4912,22,-42,-19,17
20,17258,48,-3458,-4912,22,-43,-18,17
21,17292,68,-3440,-4905,22,-43,-18,18
22,17264,54,-3446,-4902,22,-44,-19,17
23,17260,76,-3460,-4909,22,-43,-20,16
24,17278,24,-3446,-4912,22,-43,-19,17
25,17270,28,-3442,-4907,22,-43,-20,17
26,17310,24,-3472,-4905,22,-43,-19,16
27,17276,-2,-3454,-4902,22,-44,-20,16
28,17286,36,-3480,-4906,22,-43,-19,16
29,17288,16,-3456,-4905,22,-43,-20,17
30,17262,30,-3464,-4904,22,-43,-19,17
31,17274,6,-3454,-4909,22,-43,-19,17
32,17256,-10,-3452,-4909,22,-43,-19,17
33,17270,16,-3454,-4910,22,-44,-20,17
34,17280,44,-3450,-4907,22,-43,-19,17
35,17278,18,-3442,-4904,22,-43,-20,16
36,17268,10,-3426,-4901,22,-44,-19,17
37,17286,16,-3416,-4902,22,-44,-19,17
38,17274,0,-3420,-4908,22,-43,-20,16
39,17252,34,-3450,-4906,22,-44,-19,17
40,17280,62,-3464,-4899,22,-44,-19,17
41,17254,18,-3432,-4900,22,-44,-19,17
42,17272,50,-3492,-4900,22,-43,-18,17
43,17242,56,-3474,-4901,22,-43,-20,17
44,17240,20,-3476,-4898,22,-44,-19,17
45,17262,16,-3478,-4900,22,-44,-18,17
46,17292,36,-3448,-4903,22,-44,-19,17
47,17266,38,-3444,-4899,22,-43,-19,17
48,17262,32,-3468,-4901,22,-44,-19,16
49,17276,4,-3432,-4896,22,-43,-19,17
50,17284,0,-3436,-4901,22,-44,-20,17
51,17272,-12,-3452,-4903,22,-44,-20,17
52,17282,26,-3428,-4899,22,-43,-19,16
53,17288,6,-3448,-4906,22,-43,-19,17
54,17280,14,-3444,-4902,22,-43,-19,17
55,17262,18,-3478,-4910,22,-43,-19,17
56,17248,16,-3454,-4899,22,-43,-19,17
57,17248,54,-3432,-4896,22,-42,-19,16
58,17254,18,-3412,-4894,22,-43,-18,17
59,17262,18,-3474,-4892,22,-42,-18,17
60,17242,0,-3462,-4896,22,-43,-19,17
61,17282,24,-3478,-4896,22,-43,-19,18
62,17294,12,-3454,-4900,22,-43,-18,18
63,17292,40,-3484,-4897,22,-43,-20,17
64,17278,44,-3430,-4897,22,-44,-19,17
65,17232,40,-3396,-4894,22,-44,-19,17
66,17246,30,-3434,-4894,22,-43,-19,17
67,17272,6,-3408,-4893,22,-43,-19,16
68,17290,12,-3428,-4897,22,-43,-19,17
69,17286,16,-3400,-4893,22,-43,-18,16
70,17294,18,-3412,-4892,22,-44,-19,17
71,17268,16,-3424,-4898,22,-43,-19,17
72,17280,28,-3456,-4900,22,-43,-19,17
73,17264,8,-3444,-4898,22,-44,-19,18
74,17280,44,-3442,-4894,22,-44,-19,17
75,17286,42,-3418,-4890,22,-43,-19,17
76,17292,10,-3432,-4889,22,-44,-19,17
77,17258,32,-3434,-4896,22,-44,-20,16
78,17284,6,-3414,-4896,22,-44,-19,16
79,17278,-22,-3408,-4891,22,-44,-19,17
80,17274,6,-3440,-4891,22,-43,-19,18
81,17294,20,-3448,-4892,22,-43,-19,17
82,17308,16,-3446,-4897,22,-43,-18,18
83,17314,4,-3458,-4895,22,-43,-20,17
84,17266,-2,-3430,-4896,22,-44,-20,17
85,17282,40,-3430,-4885,22,-43,-19,17
86,17296,42,-3472,-4884,22,-43,-19,17
87,17290,16,-3470,-4889,22,-43,-19,16
88,17270,10,-3430,-4891,22,-43,-19,18
89,17272,12,-3460,-4888,22,-43,-19,18
90,17266,40,-3432,-4890,22,-43,-19,17
91,17292,22,-3430,-4892,22,-43,-19,17
92,17278,-4,-3408,-4896,22,-42,-19,17
93,17304,16,-3446,-4892,22,-43,-20,18
94,17284,48,-3434,-4890,22,-44,-19,17
95,17274,32,-3450,-4888,22,-44,-19,17
96,17260,52,-3450,-4884,22,-43,-19,17
97,17278,26,-3448,-4882,22,-42,-18,17
98,17256,22,-3460,-4883,22,-42,-19,18
99,17252,46,-3454,-4887,22,-42,-19,16
100,17254,34,-3488,-4887,22,-43,-19,16
101,17260,6,-3470,-4886,22,-43,-19,18
102,17292,6,-3458,-4884,22,-43,-19,18
103,17298,0,-3424,-4886,22,-43,-19,18
104,17286,-14,-3440,-4885,22,-43,-20,18
105,17268,38,-3432,-4887,22,-43,-19,17
106,17260,40,-3414,-4887,22,-43,-19,18
107,17262,28,-3434,-4886,22,-43,-19,17
108,17280,16,-3442,-4883,22,-43,-19,17
109,17254,2,-3394,-4887,22,-44,-19,17
110,17256,-2,-3406,-4891,22,-43,-19,17
111,17238,-4,-3448,-4885,22,-43,-19,17
112,17242,2,-3426,-4885,22,-43,-19,16
113,17264,8,-3428,-4887,22,-44,-19,17
114,17286,4,-3454,-4890,22,-43,-19,17
115,17294,8,-3444,-4888,22,-43,-19,17
116,17250,18,-3432,-4887,22,-44,-20,17
117,17258,46,-3444,-4885,22,-44,-19,17
118,17294,18,-3490,-4880,22,-44,-20,17
119,17284,36,-3446,-4884,22,-44,-19,17
120,17280,46,-3438,-4880,22,-43,-19,17
121,17264,26,-3472,-4877,22,-43,-20,17
122,17242,18,-3476,-4877,22,-44,-19,17
123,17302,14,-3434,-4880,22,-43,-19,17
124,17296,-2,-3470,-4885,22,-43,-19,17
125,17286,22,-3464,-4886,22,-44,-19,17
126,17252,-4,-3424,-4884,22,-43,-18,17
127,17290,-2,-3384,-4883,22,-44,-18,18
128,17302,10,-3414,-4882,22,-45,-19,17
129,17290,18,-3418,-4881,22,-44,-18,18
130,17282,26,-3424,-4880,22,-44,-19,17
131,17274,20,-3420,-4879,22,-44,-18,17
132,17246,10,-3478,-4883,22,-44,-19,17
133,17268,16,-3464,-4885,22,-43,-19,17
134,17306,12,-3472,-4879,22,-43,-19,17
135,17298,48,-3480,-4883,22,-43,-19,17
136,17314,20,-3462,-4875,22,-43,-19,17
137,17280,-16,-3464,-4884,22,-44,-19,17
138,17284,-28,-3492,-4882,22,-44,-19,17
139,17278,22,-3422,-4880,22,-43,-19,18
140,17288,28,-3442,-4877,22,-43,-20,18
141,17264,22,-3462,-4876,22,-43,-19,17
142,17272,36,-3424,-4879,22,-42,-20,16
143,17270,24,-3454,-4878,22,-43,-19,17
144,17262,22,-3454,-4882,22,-44,-20,16
145,17270,48,-3452,-4882,22,-43,-19,17
146,17284,46,-3434,-4879,22,-43,-19,18
147,17262,2,-3430,-4874,22,-44,-19,18
148,17274,38,-3432,-4878,22,-44,-19,18
149,17254,60,-3406,-4883,22,-44,-19,17
150,17294,28,-3446,-4879,22,-44,-19,17
151,17254,84,-3418,-4874,22,-43,-18,16
152,17278,58,-3430,-4875,22,-43,-20,16
153,17256,30,-3440,-4879,22,-43,-20,17
154,17282,8,-3468,-4885,22,-44,-20,17
155,17280,18,-3418,-4877,22,-43,-19,17
156,17278,6,-3430,-4882,22,-43,-20,18
157,17272,-8,-3452,-4885,22,-43,-20,17
158,17276,12,-3448,-4880,22,-44,-19,17
159,17282,24,-3514,-4875,22,-43,-20,17
160,17266,24,-3454,-4879,22,-43,-19,17
161,17268,8,-3440,-4877,22,-43,-19,18
162,17280,6,-3428,-4877,22,-43,-19,17
163,17262,30,-3450,-4875,22,-43,-19,17
164,17248,34,-3448,-4876,22,-43,-19,16
165,17242,46,-3462,-4872,22,-43,-19,16
