,raw_data,distance[cm]
0,7191,122.24700000000001
1,2282,38.794000000000004
2,7145,121.465
3,2258,38.386
4,2284,38.828
5,2261,38.437000000000005
6,2258,38.386
7,2261,38.437000000000005
8,2285,38.845000000000006
9,2308,39.236000000000004
10,2261,38.437000000000005
11,2308,39.236000000000004
12,2309,39.253
13,2284,38.828
14,2309,39.253
15,2308,39.236000000000004
16,2285,38.845000000000006
17,2309,39.253
18,2309,39.253
19,2285,38.845000000000006
20,2309,39.253
21,2308,39.236000000000004
22,2309,39.253
23,2309,39.253
24,2309,39.253
25,2308,39.236000000000004
26,2309,39.253
27,2309,39.253
28,2309,39.253
29,2308,39.236000000000004
30,2309,39.253
31,2309,39.253
32,2309,39.253
33,2309,39.253
34,2309,39.253
35,2309,39.253
36,2308,39.236000000000004
37,2309,39.253
38,2309,39.253
39,2309,39.253
40,2309,39.253
41,2309,39.253
42,2308,39.236000000000004
43,2309,39.253
44,2309,39.253
45,2309,39.253
46,2309,39.253
47,2308,39.236000000000004
48,2310,39.27
49,2309,39.253
50,2258,38.386
51,2309,39.253
52,2332,39.644000000000005
53,2260,38.42
54,2308,39.236000000000004
55,2309,39.253
56,2332,39.644000000000005
57,2308,39.236000000000004
58,2309,39.253
59,2309,39.253
60,2309,39.253
61,2309,39.253
62,2308,39.236000000000004
63,2309,39.253
64,2308,39.236000000000004
65,2309,39.253
66,2308,39.236000000000004
67,2309,39.253
68,2308,39.236000000000004
69,2308,39.236000000000004
70,2309,39.253
71,2285,38.845000000000006
72,2285,38.845000000000006
73,2309,39.253
74,2308,39.236000000000004
75,2285,38.845000000000006
76,2285,38.845000000000006
77,2308,39.236000000000004
78,2285,38.845000000000006
79,2308,39.236000000000004
80,2309,39.253
81,2308,39.236000000000004
82,2285,38.845000000000006
83,2284,38.828
84,2285,38.845000000000006
85,2309,39.253
86,2309,39.253
87,2285,38.845000000000006
88,2285,38.845000000000006
89,2284,38.828
90,2285,38.845000000000006
91,2309,39.253
92,2285,38.845000000000006
93,2285,38.845000000000006
94,2285,38.845000000000006
95,2285,38.845000000000006
96,2285,38.845000000000006
97,2285,38.845000000000006
98,2285,38.845000000000006
99,2284,38.828
100,2285,38.845000000000006
