,raw_data,distance[cm]
0,6207,105.519
1,6185,105.14500000000001
2,6184,105.12800000000001
3,6161,104.73700000000001
4,6159,104.703
5,6633,112.76100000000001
6,6161,104.73700000000001
7,6159,104.703
8,6633,112.76100000000001
9,6184,105.12800000000001
10,6159,104.703
11,6159,104.703
12,6633,112.76100000000001
13,6160,104.72000000000001
14,6635,112.795
15,6185,105.14500000000001
16,6209,105.55300000000001
17,6111,103.887
18,6209,105.55300000000001
19,6633,112.76100000000001
20,6111,103.887
21,6185,105.14500000000001
22,6161,104.73700000000001
23,6209,105.55300000000001
24,6634,112.778
25,6183,105.111
26,6110,103.87
27,6111,103.887
28,6160,104.72000000000001
29,6159,104.703
30,6209,105.55300000000001
31,6685,113.64500000000001
32,6209,105.55300000000001
33,6209,105.55300000000001
34,6135,104.295
35,6208,105.536
36,6257,106.36900000000001
37,6209,105.55300000000001
38,6134,104.278
39,6209,105.55300000000001
40,6209,105.55300000000001
41,6183,105.111
42,6231,105.927
43,6134,104.278
44,6231,105.927
45,6134,104.278
46,6134,104.278
47,6209,105.55300000000001
48,6159,104.703
49,6183,105.111
50,6232,105.944
51,6185,105.14500000000001
52,6209,105.55300000000001
53,6659,113.203
54,6134,104.278
55,6185,105.14500000000001
56,6686,113.662
57,6685,113.64500000000001
58,6208,105.536
59,6635,112.795
60,6255,106.33500000000001
61,6134,104.278
62,6158,104.686
63,6233,105.96100000000001
64,6209,105.55300000000001
65,6134,104.278
66,6233,105.96100000000001
67,6233,105.96100000000001
68,6185,105.14500000000001
69,6660,113.22000000000001
70,6209,105.55300000000001
71,6710,114.07000000000001
72,6134,104.278
73,6232,105.944
74,6209,105.55300000000001
75,6209,105.55300000000001
76,6135,104.295
77,6134,104.278
78,6231,105.927
79,6207,105.519
80,6134,104.278
81,6134,104.278
82,6134,104.278
83,6209,105.55300000000001
84,6233,105.96100000000001
85,6134,104.278
86,6134,104.278
87,6110,103.87
88,6184,105.12800000000001
89,6233,105.96100000000001
90,6110,103.87
91,6159,104.703
92,6110,103.87
93,6684,113.62800000000001
94,6658,113.186
95,6257,106.36900000000001
96,6110,103.87
97,6183,105.111
98,6685,113.64500000000001
99,6233,105.96100000000001
100,6185,105.14500000000001
