,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,-3789,-13,185,-4655,23,-172,-75,68
1,-3788,-4,195,-4653,23,-176,-76,69
2,-3790,-8,191,-4653,23,-174,-80,71
3,-3785,-7,196,-4657,23,-174,-78,69
4,-3790,-1,184,-4656,23,-172,-76,69
5,-3790,-2,191,-4655,23,-171,-77,68
6,-3794,-7,173,-4653,23,-173,-78,68
7,-3789,-3,188,-4654,23,-176,-76,66
8,-3784,0,184,-4655,23,-174,-75,68
9,-3781,0,192,-4661,23,-175,-74,69
10,-3786,1,184,-4658,23,-177,-75,66
11,-3793,-4,193,-4656,23,-173,-78,68
12,-3788,-6,185,-4654,23,-174,-75,67
13,-3785,-3,183,-4659,23,-177,-80,67
14,-3786,0,200,-4658,23,-171,-78,70
15,-3786,-11,193,-4654,23,-175,-77,69
16,-3787,-12,191,-4655,23,-173,-77,69
17,-3783,-9,190,-4656,23,-171,-77,69
18,-3779,-6,183,-4653,23,-171,-76,68
19,-3784,-8,190,-4651,23,-178,-74,68
20,-3790,2,175,-4655,23,-175,-77,70
21,-3783,0,177,-4655,23,-175,-78,75
22,-3789,6,184,-4657,23,-175,-77,71
23,-3791,-3,187,-4655,23,-173,-80,68
24,-3796,-2,186,-4656,23,-174,-78,72
25,-3790,-5,182,-4647,23,-177,-77,72
26,-3782,-1,196,-4652,23,-174,-79,72
27,-3790,-3,196,-4657,23,-172,-73,70
28,-3791,-6,197,-4653,23,-173,-73,71
29,-3795,-7,176,-4656,23,-176,-72,72
30,-3786,-5,181,-4660,23,-176,-70,73
31,-3794,0,187,-4657,23,-173,-72,71
32,-3799,-3,198,-4654,23,-175,-75,69
33,-3789,-6,201,-4652,23,-177,-76,70
34,-3788,-10,192,-4651,23,-176,-75,68
35,-3795,-13,196,-4650,23,-177,-78,68
36,-3788,-17,189,-4657,23,-174,-81,68
37,-3789,-9,189,-4654,23,-173,-84,69
38,-3786,-9,193,-4655,23,-172,-75,72
39,-3792,-8,188,-4656,23,-169,-76,69
40,-3790,-6,188,-4655,23,-174,-79,70
41,-3799,-14,188,-4654,23,-177,-78,69
42,-3792,-8,194,-4650,23,-175,-78,70
43,-3790,-7,185,-4654,23,-174,-78,69
44,-3789,-4,191,-4651,23,-178,-79,68
45,-3793,-7,188,-4652,23,-174,-79,69
46,-3793,-10,183,-4652,23,-173,-79,69
47,-3791,-9,190,-4654,23,-171,-77,71
48,-3787,-5,183,-4656,23,-174,-78,70
49,-3789,-3,175,-4652,23,-177,-77,69
50,-3791,-9,188,-4653,23,-173,-77,68
51,-3796,-1,194,-4656,23,-172,-76,70
52,-3789,-4,196,-4653,23,-174,-76,70
53,-3790,-5,180,-4651,23,-176,-80,69
