,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,-1879,1,93,-4759,23,-180,-79,74
1,-1896,4,91,-4743,23,-172,-79,73
2,-1882,-3,90,-4767,22,-167,-76,73
3,-1895,-5,95,-4762,22,-175,-79,61
4,-1897,8,90,-4766,22,-174,-79,69
5,-1904,2,92,-4760,22,-179,-70,77
6,-1898,1,102,-4762,22,-165,-74,72
7,-1902,0,89,-4761,22,-176,-79,67
8,-1898,9,98,-4774,22,-175,-81,67
9,-1888,-9,99,-4762,22,-176,-71,70
10,-1896,-3,75,-4763,22,-159,-81,75
11,-1885,-15,100,-4770,22,-168,-76,76
12,-1893,-3,81,-4763,22,-172,-76,68
13,-1892,-3,107,-4760,22,-166,-79,82
14,-1891,2,75,-4765,22,-179,-80,69
15,-1900,-4,94,-4763,22,-177,-77,65
16,-1903,-1,103,-4763,22,-171,-82,74
17,-1900,0,89,-4753,23,-168,-78,62
18,-1890,-6,88,-4762,22,-172,-61,69
19,-1901,1,93,-4768,22,-181,-79,62
20,-1898,3,84,-4754,23,-178,-80,79
21,-1892,-4,104,-4758,23,-171,-73,69
22,-1891,-8,88,-4762,22,-168,-82,72
23,-1896,-7,97,-4759,23,-168,-77,67
24,-1900,-6,96,-4779,22,-176,-70,60
25,-1892,-7,88,-4760,22,-176,-73,63
26,-1890,5,84,-4754,23,-176,-87,71
27,-1887,0,93,-4768,22,-169,-72,71
28,-1889,2,92,-4772,22,-188,-79,60
29,-1901,-15,97,-4771,22,-181,-68,67
30,-1890,-6,86,-4768,22,-173,-74,73
31,-1891,-5,87,-4767,22,-180,-76,65
32,-1900,-3,89,-4759,23,-179,-71,69
33,-1899,-5,95,-4759,23,-171,-83,63
34,-1895,-2,82,-4762,22,-172,-84,68
35,-1907,-8,101,-4754,23,-164,-70,71
36,-1900,-3,97,-4755,23,-167,-74,75
37,-1892,0,90,-4761,22,-172,-74,63
38,-1894,-3,88,-4761,22,-168,-76,66
39,-1897,-6,84,-4765,22,-172,-81,78
40,-1898,-11,79,-4768,22,-181,-85,76
41,-1892,1,105,-4759,23,-166,-82,60
42,-1887,-3,96,-4756,23,-170,-75,67
43,-1896,-3,84,-4754,23,-168,-85,72
44,-1885,-11,103,-4769,22,-175,-72,67
45,-1896,6,105,-4761,22,-173,-82,69
46,-1901,0,81,-4764,22,-171,-73,72
47,-1900,2,98,-4757,23,-175,-80,66
48,-1895,-3,110,-4755,23,-169,-76,64
49,-1887,7,96,-4761,22,-176,-82,73
50,-1906,-7,105,-4748,23,-168,-72,71
51,-1888,-13,98,-4769,22,-176,-87,70
52,-1889,-8,92,-4757,23,-170,-86,66
53,-1894,1,98,-4757,23,-169,-76,68
54,-1892,-8,99,-4761,22,-176,-72,70
55,-1884,7,80,-4749,23,-176,-77,71
56,-1893,2,95,-4759,23,-170,-79,77
57,-1886,-3,88,-4753,23,-173,-71,69
58,-1890,-1,108,-4756,23,-180,-84,71
59,-1892,5,82,-4763,22,-179,-76,71
60,-1895,-2,95,-4753,23,-170,-78,56
61,-1893,-3,85,-4764,22,-178,-72,74
62,-1896,8,95,-4773,22,-178,-72,68
63,-1906,-6,93,-4771,22,-181,-80,75
64,-1886,-13,91,-4767,22,-186,-72,75
65,-1891,-3,98,-4758,23,-177,-75,70
66,-1891,0,89,-4743,23,-179,-80,73
67,-1898,2,84,-4764,22,-179,-73,65
68,-1887,-1,100,-4751,23,-178,-67,75
69,-1895,-2,94,-4766,22,-181,-78,69
70,-1895,-2,77,-4759,23,-168,-78,62
71,-1888,4,90,-4762,22,-183,-70,66
72,-1893,-3,107,-4767,22,-180,-72,67
73,-1886,-11,91,-4756,23,-175,-80,63
