,raw_data,distance[cm]
0,3394,57.69800000000001
1,3380,57.46
2,3382,57.49400000000001
3,3404,57.868
4,3382,57.49400000000001
5,3385,57.545
6,3388,57.596000000000004
7,3397,57.749
8,3406,57.902
9,3403,57.851000000000006
10,3397,57.749
11,3395,57.715
12,3397,57.749
13,3397,57.749
14,3397,57.749
15,3397,57.749
16,3397,57.749
17,3397,57.749
18,3397,57.749
19,3397,57.749
20,3397,57.749
21,3397,57.749
22,3397,57.749
23,3397,57.749
24,3395,57.715
25,3397,57.749
26,3397,57.749
27,3397,57.749
28,3397,57.749
29,3397,57.749
30,3397,57.749
31,3397,57.749
32,3397,57.749
33,3397,57.749
34,3397,57.749
35,3397,57.749
36,3397,57.749
37,3397,57.749
38,3397,57.749
39,3397,57.749
40,3395,57.715
41,3397,57.749
42,3397,57.749
43,3397,57.749
44,3395,57.715
45,3397,57.749
46,3397,57.749
47,3397,57.749
48,3397,57.749
49,3397,57.749
50,3397,57.749
51,3397,57.749
52,3397,57.749
53,3397,57.749
54,3397,57.749
55,3397,57.749
56,3397,57.749
57,3421,58.157000000000004
58,3397,57.749
59,3398,57.766000000000005
60,3421,58.157000000000004
61,3397,57.749
62,3397,57.749
63,3397,57.749
64,3419,58.123000000000005
65,3421,58.157000000000004
66,3397,57.749
67,3397,57.749
68,3397,57.749
69,3397,57.749
70,3397,57.749
71,3397,57.749
72,3397,57.749
73,3397,57.749
74,3397,57.749
75,3395,57.715
76,3395,57.715
77,3397,57.749
78,3397,57.749
79,3397,57.749
80,3397,57.749
81,3397,57.749
82,3397,57.749
83,3397,57.749
84,3397,57.749
85,3397,57.749
86,3397,57.749
87,3397,57.749
88,3397,57.749
89,3397,57.749
90,3397,57.749
91,3398,57.766000000000005
92,3397,57.749
93,3397,57.749
94,3397,57.749
95,3395,57.715
96,3395,57.715
97,3398,57.766000000000005
98,3397,57.749
99,3397,57.749
100,3397,57.749
