,raw_data,distance[cm]
0,512,8.704
1,512,8.704
2,512,8.704
3,512,8.704
4,512,8.704
5,512,8.704
6,512,8.704
7,512,8.704
8,512,8.704
9,512,8.704
10,512,8.704
11,512,8.704
12,512,8.704
13,512,8.704
14,512,8.704
15,512,8.704
16,512,8.704
17,512,8.704
18,512,8.704
19,512,8.704
20,512,8.704
21,512,8.704
22,512,8.704
23,512,8.704
24,512,8.704
25,512,8.704
26,512,8.704
27,512,8.704
28,512,8.704
29,512,8.704
30,512,8.704
31,512,8.704
32,512,8.704
33,512,8.704
34,512,8.704
35,512,8.704
36,512,8.704
37,512,8.704
38,512,8.704
39,512,8.704
40,512,8.704
41,512,8.704
42,512,8.704
43,512,8.704
44,513,8.721
45,512,8.704
46,512,8.704
47,512,8.704
48,512,8.704
49,512,8.704
50,512,8.704
51,512,8.704
52,512,8.704
53,512,8.704
54,512,8.704
55,512,8.704
56,512,8.704
57,512,8.704
58,512,8.704
59,512,8.704
60,512,8.704
61,512,8.704
62,512,8.704
63,512,8.704
64,512,8.704
65,512,8.704
66,512,8.704
67,512,8.704
68,513,8.721
69,512,8.704
70,512,8.704
71,512,8.704
72,512,8.704
73,512,8.704
74,512,8.704
75,512,8.704
76,512,8.704
77,512,8.704
78,512,8.704
79,512,8.704
80,512,8.704
81,512,8.704
82,512,8.704
83,512,8.704
84,512,8.704
85,512,8.704
86,512,8.704
87,512,8.704
88,512,8.704
89,512,8.704
90,512,8.704
91,512,8.704
92,511,8.687000000000001
93,512,8.704
94,512,8.704
95,512,8.704
96,512,8.704
97,512,8.704
98,512,8.704
99,512,8.704
100,512,8.704
