,raw_data,distance[cm]
0,6110,103.87
1,6134,104.278
2,6134,104.278
3,6158,104.686
4,6133,104.26100000000001
5,6159,104.703
6,6632,112.74400000000001
7,6134,104.278
8,6632,112.74400000000001
9,6632,112.74400000000001
10,6657,113.16900000000001
11,6158,104.686
12,6632,112.74400000000001
13,6182,105.09400000000001
14,6633,112.76100000000001
15,6659,113.203
16,6158,104.686
17,6134,104.278
18,6133,104.26100000000001
19,6659,113.203
20,6657,113.16900000000001
21,6158,104.686
22,6709,114.05300000000001
23,6182,105.09400000000001
24,6659,113.203
25,6158,104.686
26,6158,104.686
27,6630,112.71000000000001
28,6710,114.07000000000001
29,6157,104.66900000000001
30,6134,104.278
31,6632,112.74400000000001
32,6158,104.686
33,6107,103.819
34,6632,112.74400000000001
35,6159,104.703
36,6158,104.686
37,6632,112.74400000000001
38,6659,113.203
39,6158,104.686
40,6181,105.07700000000001
41,6158,104.686
42,6156,104.652
43,6108,103.83600000000001
44,6631,112.727
45,6230,105.91000000000001
46,6632,112.74400000000001
47,6182,105.09400000000001
48,6632,112.74400000000001
49,6683,113.611
50,6180,105.06
51,6157,104.66900000000001
52,6158,104.686
53,6158,104.686
54,6632,112.74400000000001
55,6108,103.83600000000001
56,6156,104.652
57,6659,113.203
58,6107,103.819
59,6182,105.09400000000001
60,6206,105.50200000000001
61,6156,104.652
62,6205,105.48500000000001
63,6659,113.203
64,6183,105.111
65,6659,113.203
66,6632,112.74400000000001
67,6182,105.09400000000001
68,6630,112.71000000000001
69,6158,104.686
70,6632,112.74400000000001
71,6206,105.50200000000001
72,6683,113.611
73,6206,105.50200000000001
74,6659,113.203
75,6182,105.09400000000001
76,6683,113.611
77,6632,112.74400000000001
78,6206,105.50200000000001
79,6158,104.686
80,6659,113.203
81,6206,105.50200000000001
82,6683,113.611
83,6182,105.09400000000001
84,6630,112.71000000000001
85,6659,113.203
86,6182,105.09400000000001
87,6253,106.301
88,6182,105.09400000000001
89,6631,112.727
90,6683,113.611
91,6181,105.07700000000001
92,6230,105.91000000000001
93,6632,112.74400000000001
94,6181,105.07700000000001
95,6632,112.74400000000001
96,6206,105.50200000000001
97,6108,103.83600000000001
98,6182,105.09400000000001
99,6182,105.09400000000001
100,6182,105.09400000000001
