,raw_data,distance[cm]
0,1117,18.989
1,1117,18.989
2,1117,18.989
3,1117,18.989
4,1118,19.006
5,1117,18.989
6,1118,19.006
7,1117,18.989
8,1117,18.989
9,1118,19.006
10,1117,18.989
11,1117,18.989
12,1118,19.006
13,1117,18.989
14,1117,18.989
15,1117,18.989
16,1117,18.989
17,1117,18.989
18,1117,18.989
19,1117,18.989
20,1118,19.006
21,1118,19.006
22,1117,18.989
23,1117,18.989
24,1118,19.006
25,1117,18.989
26,1118,19.006
27,1117,18.989
28,1118,19.006
29,1117,18.989
30,1117,18.989
31,1117,18.989
32,1118,19.006
33,1117,18.989
34,1117,18.989
35,1117,18.989
36,1117,18.989
37,1117,18.989
38,1117,18.989
39,1117,18.989
40,1117,18.989
41,1117,18.989
42,1117,18.989
43,1117,18.989
44,1116,18.972
45,1116,18.972
46,1117,18.989
47,1117,18.989
48,1117,18.989
49,1117,18.989
50,1117,18.989
51,1117,18.989
52,1117,18.989
53,1117,18.989
54,1117,18.989
55,1117,18.989
56,1117,18.989
57,1117,18.989
58,1117,18.989
59,1117,18.989
60,1117,18.989
61,1118,19.006
62,1117,18.989
63,1117,18.989
64,1117,18.989
65,1118,19.006
66,1117,18.989
67,1117,18.989
68,1117,18.989
69,1117,18.989
70,1117,18.989
71,1117,18.989
72,1118,19.006
73,1117,18.989
74,1117,18.989
75,1117,18.989
76,1117,18.989
77,1117,18.989
78,1117,18.989
79,1117,18.989
80,1118,19.006
81,1117,18.989
82,1117,18.989
83,1117,18.989
84,1117,18.989
85,1117,18.989
86,1117,18.989
87,1118,19.006
88,1118,19.006
89,1117,18.989
90,1117,18.989
91,1118,19.006
92,1117,18.989
93,1117,18.989
94,1118,19.006
95,1117,18.989
96,1117,18.989
97,1117,18.989
98,1117,18.989
99,1117,18.989
100,1117,18.989
