,raw_data,distance[cm]
0,3418,58.106
1,3416,58.072
2,3418,58.106
3,3417,58.089000000000006
4,3418,58.106
5,3416,58.072
6,3418,58.106
7,3416,58.072
8,3418,58.106
9,3418,58.106
10,3418,58.106
11,3416,58.072
12,3418,58.106
13,3418,58.106
14,3416,58.072
15,3418,58.106
16,3416,58.072
17,3418,58.106
18,3418,58.106
19,3416,58.072
20,3418,58.106
21,3418,58.106
22,3416,58.072
23,3416,58.072
24,3416,58.072
25,3416,58.072
26,3416,58.072
27,3416,58.072
28,3416,58.072
29,3418,58.106
30,3418,58.106
31,3418,58.106
32,3416,58.072
33,3416,58.072
34,3418,58.106
35,3418,58.106
36,3418,58.106
37,3418,58.106
38,3416,58.072
39,3418,58.106
40,3418,58.106
41,3417,58.089000000000006
42,3416,58.072
43,3418,58.106
44,3418,58.106
45,3416,58.072
46,3418,58.106
47,3418,58.106
48,3416,58.072
49,3418,58.106
50,3418,58.106
51,3418,58.106
52,3418,58.106
53,3417,58.089000000000006
54,3418,58.106
55,3416,58.072
56,3418,58.106
57,3416,58.072
58,3418,58.106
59,3418,58.106
60,3417,58.089000000000006
61,3417,58.089000000000006
62,3416,58.072
63,3416,58.072
64,3416,58.072
65,3416,58.072
66,3418,58.106
67,3416,58.072
68,3416,58.072
69,3416,58.072
70,3416,58.072
71,3416,58.072
72,3418,58.106
73,3418,58.106
74,3418,58.106
75,3416,58.072
76,3418,58.106
77,3416,58.072
78,3416,58.072
79,3418,58.106
80,3418,58.106
81,3418,58.106
82,3416,58.072
83,3418,58.106
84,3416,58.072
85,3418,58.106
86,3418,58.106
87,3416,58.072
88,3416,58.072
89,3418,58.106
90,3418,58.106
91,3416,58.072
92,3416,58.072
93,3416,58.072
94,3416,58.072
95,3418,58.106
96,3418,58.106
97,3418,58.106
98,3418,58.106
99,3416,58.072
100,3418,58.106
