,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,17240,32,-3296,-4608,23,-45,-21,15
1,17316,38,-3500,-4598,23,-45,-20,17
2,17262,20,-3434,-4606,23,-43,-19,15
3,17212,-16,-3446,-4611,23,-43,-21,17
4,17258,-50,-3390,-4600,23,-44,-19,17
5,17272,-56,-3410,-4594,23,-42,-19,17
6,17198,44,-3324,-4613,23,-42,-20,17
7,17296,72,-3410,-4600,23,-42,-18,17
8,17190,22,-3262,-4608,23,-42,-19,15
9,17330,6,-3390,-4615,23,-44,-18,19
10,17200,18,-3464,-4606,23,-43,-21,16
11,17324,-4,-3386,-4605,23,-43,-22,16
12,17324,22,-3450,-4612,23,-44,-20,18
13,17292,64,-3406,-4602,23,-43,-21,18
14,17326,64,-3344,-4594,23,-43,-21,16
15,17286,84,-3490,-4610,23,-43,-18,16
16,17202,-36,-3410,-4604,23,-43,-22,17
17,17262,-6,-3400,-4607,23,-45,-22,15
18,17222,20,-3450,-4603,23,-44,-20,17
19,17310,-40,-3288,-4619,23,-43,-21,17
20,17288,96,-3412,-4600,23,-42,-18,17
21,17298,-24,-3454,-4605,23,-43,-20,17
22,17298,-12,-3356,-4605,23,-44,-21,17
23,17232,26,-3352,-4604,23,-42,-18,18
24,17324,106,-3450,-4607,23,-45,-20,17
25,17230,-10,-3288,-4602,23,-43,-22,17
26,17226,68,-3458,-4606,23,-45,-20,18
27,17252,-12,-3436,-4597,23,-42,-20,16
28,17306,22,-3298,-4603,23,-44,-19,17
29,17202,34,-3426,-4615,23,-43,-21,17
30,17226,-4,-3426,-4622,23,-44,-21,16
31,17288,-10,-3352,-4608,23,-44,-19,16
32,17298,-32,-3428,-4602,23,-44,-22,14
33,17290,-32,-3394,-4587,23,-43,-20,17
34,17292,42,-3228,-4601,23,-44,-20,16
35,17308,28,-3358,-4614,23,-43,-20,18
36,17300,4,-3500,-4613,23,-43,-21,17
37,17264,22,-3278,-4611,23,-45,-21,18
38,17270,20,-3380,-4597,23,-43,-18,16
39,17244,10,-3214,-4596,23,-45,-19,14
40,17218,-62,-3482,-4624,23,-42,-19,16
41,17318,22,-3392,-4607,23,-44,-20,16
42,17292,86,-3454,-4605,23,-43,-21,17
43,17268,24,-3372,-4610,23,-45,-21,17
44,17346,104,-3414,-4607,23,-43,-17,17
45,17304,58,-3396,-4603,23,-47,-20,17
46,17258,-44,-3412,-4604,23,-46,-21,16
47,17276,-8,-3316,-4615,23,-46,-19,16
48,17278,20,-3444,-4602,23,-42,-20,18
49,17244,24,-3372,-4615,23,-43,-20,18
50,17358,-6,-3328,-4596,23,-42,-19,17
51,17268,-26,-3350,-4599,23,-45,-20,18
52,17354,-12,-3270,-4600,23,-45,-20,15
53,17224,36,-3482,-4600,23,-43,-19,17
54,17268,20,-3344,-4613,23,-41,-20,15
55,17260,34,-3372,-4592,23,-44,-21,17
56,17292,-30,-3390,-4603,23,-43,-17,16
57,17268,46,-3270,-4607,23,-45,-21,15
58,17304,74,-3378,-4600,23,-44,-22,17
59,17262,96,-3392,-4606,23,-43,-16,18
60,17262,-20,-3276,-4603,23,-44,-21,19
61,17270,-22,-3402,-4603,23,-42,-20,16
62,17282,28,-3388,-4611,23,-44,-19,18
63,17278,-12,-3386,-4617,23,-44,-17,18
64,17274,-10,-3428,-4616,23,-43,-19,16
65,17280,-96,-3284,-4606,23,-44,-19,16
66,17194,0,-3274,-4604,23,-44,-21,16
67,17312,62,-3386,-4595,23,-43,-19,18
68,17286,-42,-3440,-4608,23,-42,-19,17
69,17298,56,-3378,-4617,23,-43,-19,16
70,17228,-74,-3348,-4607,23,-46,-21,18
71,17248,-28,-3354,-4605,23,-42,-21,17
72,17288,0,-3318,-4597,23,-44,-21,18
73,17172,82,-3332,-4616,23,-43,-19,16
74,17310,16,-3372,-4610,23,-44,-21,17
75,17206,-26,-3490,-4607,23,-45,-18,16
76,17302,24,-3426,-4610,23,-44,-20,17
77,17300,14,-3418,-4597,23,-43,-22,15
78,17288,36,-3410,-4603,23,-45,-21,17
79,17324,-8,-3454,-4595,23,-42,-20,16
80,17228,-6,-3390,-4601,23,-45,-18,18
81,17308,-26,-3380,-4615,23,-45,-21,17
82,17230,26,-3472,-4602,23,-44,-20,16
83,17372,48,-3346,-4612,23,-42,-21,18
84,17278,14,-3416,-4604,23,-43,-20,19
85,17310,-2,-3424,-4614,23,-44,-20,15
86,17292,24,-3346,-4600,23,-45,-19,17
87,17294,56,-3340,-4614,23,-46,-20,18
88,17288,8,-3310,-4603,23,-43,-20,17
89,17248,26,-3362,-4593,23,-43,-20,17
90,17184,62,-3332,-4599,23,-42,-21,16
91,17286,-14,-3366,-4598,23,-44,-19,17
92,17248,34,-3354,-4609,23,-44,-18,17
93,17256,76,-3324,-4599,23,-43,-20,17
94,17222,12,-3268,-4593,23,-44,-19,16
95,17334,68,-3494,-4599,23,-44,-21,17
96,17252,-20,-3400,-4609,23,-44,-22,16
97,17260,-52,-3282,-4601,23,-45,-22,16
98,17232,46,-3422,-4611,23,-44,-20,18
99,17298,-2,-3374,-4605,23,-41,-18,16
100,17356,-16,-3414,-4609,23,-43,-19,18
101,17382,-34,-3334,-4596,23,-44,-19,16
102,17340,0,-3390,-4594,23,-45,-20,17
103,17266,6,-3388,-4602,23,-42,-18,19
104,17308,30,-3372,-4594,23,-43,-22,18
