,humidity,temperature,CO2,TVOC,CCTEMP,time
0,nan,nan,400,0,"25.00
",0.17676162719726562
1,nan,nan,400,0,"25.00
",1.2145957946777344
2,nan,nan,403,0,"25.00
",2.16513729095459
3,nan,nan,403,0,"25.00
",3.1588399410247803
4,nan,nan,435,5,"25.80
",4.195925951004028
5,nan,nan,553,23,"25.00
",5.146224021911621
6,nan,nan,821,64,"25.00
",6.140685796737671
7,95.00,26.10,1081,103,"-59.70
",7.1718339920043945
8,95.00,26.10,923,79,"25.80
",8.222076177597046
9,95.00,26.10,923,79,"25.00
",9.127145767211914
10,43.00,24.90,715,47,"25.00
",10.144989013671875
11,43.00,24.90,588,28,"25.00
",11.114586591720581
12,43.00,24.90,530,19,"25.00
",12.108398199081421
13,42.00,25.20,497,14,"25.00
",13.126598358154297
14,42.00,25.20,450,7,"25.00
",14.093966484069824
15,42.00,25.20,439,5,"25.00
",15.087989330291748
16,41.00,24.90,2324,293,"25.00
",16.1078097820282
17,41.00,24.90,7992,1156,"25.80
",17.079548358917236
18,41.00,24.90,7992,1156,"25.80
",18.07379961013794
19,71.00,24.90,7582,1094,"25.80
",19.092101573944092
20,71.00,24.90,5483,774,"24.41
",20.05799913406372
21,71.00,24.90,7992,1156,"25.80
",21.05394673347473
22,95.00,25.60,4813,672,"25.80
",22.071911096572876
23,95.00,25.60,7567,1091,"25.80
",23.04016900062561
24,95.00,25.60,7992,1156,"25.80
",24.033439874649048
25,95.00,25.50,7992,1156,"25.80
",25.051519632339478
26,95.00,25.50,7992,1156,"26.41
",26.022032737731934
27,95.00,25.50,7215,1038,"26.41
",27.015467882156372
28,95.00,25.80,7334,1056,"26.41
",28.034706830978394
29,95.00,25.80,6117,870,"26.41
",29.002095937728882
30,95.00,25.80,4214,581,"26.41
",29.993746995925903
31,95.00,25.80,7992,1156,"26.41
",31.015361785888672
32,95.00,25.80,4214,581,"26.41
",31.980441093444824
33,95.00,25.80,2900,380,"26.41
",32.97603416442871
34,95.00,26.20,5471,772,"26.41
",33.994686126708984
35,95.00,26.20,3476,468,"26.41
",34.963298082351685
36,95.00,26.20,3607,488,"26.41
",35.95439052581787
37,95.00,26.80,6219,886,"26.41
",36.97440576553345
38,95.00,26.80,4158,572,"26.41
",37.94575881958008
39,95.00,26.80,4102,563,"26.41
",38.93723154067993
40,95.00,27.00,2523,323,"26.41
",39.95684051513672
41,95.00,27.00,1951,236,"26.41
",40.92541837692261
42,95.00,27.00,1685,195,"25.00
",41.918954610824585
43,95.00,27.10,1255,130,"26.41
",42.937065839767456
44,95.00,27.10,1075,102,"26.41
",43.90546369552612
45,95.00,27.10,1075,102,"26.41
",44.89980721473694
46,95.00,27.20,996,90,"26.41
",45.91556429862976
47,95.00,27.20,876,72,"26.41
",46.8838255405426
48,95.00,27.20,891,74,"26.41
",47.878398180007935
49,95.00,27.20,816,63,"26.41
",48.89673185348511
50,95.00,27.20,745,52,"26.41
",49.86567401885986
51,95.00,27.20,693,44,"26.41
",50.858827114105225
52,95.00,26.80,693,44,"25.00
",51.876282930374146
53,95.00,26.80,610,31,"26.41
",52.843745470047
54,95.00,26.80,542,21,"26.41
",53.83942246437073
55,95.00,26.70,518,17,"25.80
",54.85977530479431
56,95.00,26.70,497,14,"26.41
",55.82546257972717
57,95.00,26.70,490,13,"26.41
",56.82068681716919
58,95.00,26.50,483,12,"25.80
",57.840484857559204
59,95.00,26.50,477,11,"25.80
",58.807847023010254
60,95.00,26.50,472,10,"25.80
",59.80107092857361
61,95.00,26.40,466,10,"25.80
",60.82102918624878
62,95.00,26.40,466,10,"25.80
",61.78918528556824
63,95.00,26.40,466,10,"25.80
",62.78250026702881
64,86.00,26.30,463,9,"25.80
",63.80023789405823
65,86.00,26.30,459,8,"26.41
",64.7679512500763
66,86.00,26.30,457,8,"25.80
",65.76316261291504
67,77.00,26.20,456,8,"25.80
",66.78095817565918
68,77.00,26.20,456,8,"25.80
",67.74960613250732
69,77.00,26.20,457,8,"25.80
",68.74319553375244
70,70.00,26.20,456,8,"25.80
",69.76051735877991
71,70.00,26.20,475,11,"27.67
",70.72900223731995
72,70.00,26.20,480,12,"25.80
",71.72360277175903
73,60.00,26.10,466,10,"25.80
",72.7449893951416
74,60.00,26.10,4214,581,"25.80
",73.71201825141907
75,60.00,26.10,4319,597,"25.80
",74.70918321609497
76,56.00,26.10,6219,886,"25.80
",75.7269139289856
77,56.00,26.10,5561,786,"25.80
",76.69666719436646
78,56.00,26.10,6032,858,"25.80
",77.68967390060425
79,95.00,26.20,4874,681,"26.41
",78.70521569252014
80,95.00,26.20,5237,736,"25.80
",79.67628836631775
