,humidity,temperature,CO2,TVOC,CCTEMP,time
0,38.00,24.50,0,0,"25.00
",3.6972503662109375
1,38.00,24.50,0,0,"25.00
",4.663066864013672
2,38.00,24.50,0,0,"25.00
",5.655932426452637
3,37.00,24.50,400,0,"25.00
",6.679856300354004
4,37.00,24.50,400,0,"25.00
",7.6468799114227295
5,37.00,24.50,400,0,"25.00
",8.639402389526367
6,37.00,24.50,400,0,"25.00
",9.65984034538269
7,37.00,24.50,436,5,"25.00
",10.628242254257202
8,37.00,24.50,927,80,"25.00
",11.622621297836304
9,37.00,24.50,1065,101,"25.00
",12.643577098846436
10,37.00,24.50,817,63,"25.00
",13.610946416854858
11,37.00,24.50,626,34,"25.00
",14.605527400970459
12,37.00,24.60,518,17,"25.00
",15.62331748008728
13,37.00,24.60,470,10,"25.00
",16.59184193611145
14,37.00,24.60,432,4,"24.39
",17.58218479156494
15,37.00,24.50,410,1,"25.00
",18.603517293930054
16,37.00,24.50,400,0,"25.00
",19.568889617919922
17,37.00,24.50,400,0,"25.00
",20.564685821533203
18,37.00,24.50,400,0,"25.00
",21.58334469795227
19,37.00,24.50,400,0,"25.00
",22.55167055130005
20,37.00,24.50,400,0,"25.00
",23.545623540878296
21,36.00,24.50,400,0,"25.00
",24.56437635421753
22,36.00,24.50,400,0,"25.00
",25.532928228378296
23,36.00,24.50,403,0,"25.00
",26.524336338043213
24,36.00,24.50,403,0,"25.00
",27.544606924057007
25,36.00,24.50,409,1,"25.00
",28.51365566253662
26,36.00,24.50,447,7,"25.00
",29.5075044631958
27,36.00,24.50,567,25,"25.00
",30.526793718338013
28,36.00,24.50,466,10,"25.00
",31.494975805282593
29,36.00,24.50,459,8,"25.00
",32.48715567588806
30,36.00,24.60,456,8,"25.00
",33.50701642036438
31,36.00,24.60,447,7,"25.00
",34.47439670562744
32,36.00,24.60,447,7,"25.00
",35.46889328956604
33,36.00,24.60,463,9,"25.00
",36.485177516937256
34,36.00,24.60,478,11,"25.00
",37.45617485046387
35,36.00,24.60,456,8,"25.00
",38.44836974143982
36,36.00,24.50,1110,108,"25.00
",39.47067880630493
37,36.00,24.50,1231,126,"25.00
",40.44115352630615
38,36.00,24.50,1038,97,"25.00
",41.431617975234985
39,36.00,24.50,710,47,"25.00
",42.449610471725464
40,36.00,24.50,637,36,"25.00
",43.41849899291992
41,36.00,24.50,793,59,"25.00
",44.41296982765198
42,36.00,24.70,1001,91,"25.00
",45.43005561828613
43,36.00,24.70,1062,100,"25.00
",46.40199398994446
44,36.00,24.70,748,53,"25.00
",47.3925359249115
45,36.00,24.50,517,17,"25.00
",48.41171407699585
46,36.00,24.50,447,7,"27.55
",49.378692865371704
47,36.00,24.50,417,2,"25.00
",50.37135362625122
48,36.00,24.50,407,1,"25.00
",51.39148259162903
49,36.00,24.50,400,0,"25.00
",52.35885739326477
50,36.00,24.50,400,0,"25.00
",53.350730419158936
51,36.00,24.50,403,0,"25.00
",54.370646715164185
52,36.00,24.50,409,1,"25.00
",55.33819937705994
53,36.00,24.50,413,1,"25.00
",56.33360433578491
54,36.00,24.60,409,1,"25.00
",57.352877378463745
55,36.00,24.60,409,1,"25.00
",58.31972932815552
56,36.00,24.60,415,2,"25.00
",59.31471014022827
57,36.00,24.50,415,2,"25.00
",60.3310604095459
58,36.00,24.50,418,2,"25.00
",61.302916049957275
59,36.00,24.50,423,3,"25.00
",62.29524207115173
60,36.00,24.50,426,3,"25.00
",63.31364631652832
61,36.00,24.50,423,3,"25.00
",64.2837393283844
62,36.00,24.50,426,3,"25.00
",65.27693843841553
63,36.00,24.50,423,3,"25.00
",66.29470038414001
64,36.00,24.50,423,3,"25.00
",67.26221013069153
65,36.00,24.50,992,90,"25.00
",68.2555513381958
66,36.00,24.50,2480,316,"24.39
",69.27914190292358
67,36.00,24.50,1562,177,"24.39
",70.24458026885986
68,36.00,24.50,1436,157,"25.00
",71.24163341522217
69,37.00,24.60,1204,122,"25.00
",72.25906157493591
70,37.00,24.60,1436,157,"23.59
",73.22876644134521
71,37.00,24.60,5843,829,"24.39
",74.22047543525696
72,38.00,24.50,3104,411,"23.59
",75.23954963684082
