,humidity,temperature,CO2,TVOC,CCTEMP,time
0,32.00,27.90,0,0,"25.00
",1.8901853561401367
1,32.00,27.90,0,0,"25.00
",2.856814384460449
2,32.00,27.90,0,0,"25.00
",3.850306749343872
3,34.00,26.70,400,0,"25.00
",4.872130632400513
4,34.00,26.70,400,0,"25.59
",5.841537237167358
5,34.00,26.70,400,0,"25.59
",6.835493803024292
6,35.00,26.90,400,0,"25.59
",7.852923631668091
7,35.00,26.90,400,0,"25.00
",8.819890022277832
8,35.00,26.90,400,0,"24.41
",9.816659212112427
9,34.00,26.70,400,0,"25.00
",10.835094451904297
10,34.00,26.70,400,0,"25.00
",11.803574800491333
11,34.00,26.70,409,1,"25.00
",12.796538591384888
12,33.00,26.80,400,0,"25.59
",13.814502000808716
13,33.00,26.80,400,0,"25.59
",14.782838582992554
14,33.00,26.80,400,0,"25.59
",15.775508880615234
15,33.00,26.70,403,0,"25.59
",16.798524141311646
16,33.00,26.70,406,0,"23.27
",17.764856100082397
17,33.00,26.70,406,0,"25.59
",18.75749111175537
18,33.00,26.60,403,0,"25.00
",19.778705835342407
19,33.00,26.60,400,0,"25.59
",20.74764895439148
20,33.00,26.60,400,0,"25.59
",21.738313674926758
21,33.00,26.50,400,0,"24.41
",22.759162664413452
22,33.00,26.50,411,1,"25.59
",23.72839879989624
23,33.00,26.50,408,1,"25.59
",24.721341848373413
24,33.00,26.50,414,2,"25.59
",25.7374210357666
25,33.00,26.50,422,3,"25.59
",26.706448554992676
26,33.00,26.50,434,5,"26.39
",27.70220708847046
27,33.00,26.60,432,4,"28.90
",28.71927762031555
28,33.00,26.60,426,3,"26.39
",29.68863844871521
29,33.00,26.60,432,4,"27.00
",30.68404746055603
30,32.00,27.30,497,14,"27.00
",31.70174241065979
31,32.00,27.30,1349,144,"27.63
",32.672876596450806
32,32.00,27.30,1521,170,"27.63
",33.66876721382141
33,33.00,28.10,1574,178,"28.26
",34.68543314933777
34,33.00,28.10,1125,110,"28.90
",35.65391182899475
35,33.00,28.10,1047,98,"28.90
",36.64559507369995
36,34.00,28.70,846,67,"29.56
",37.6626615524292
37,34.00,28.70,704,46,"30.44
",38.63142395019531
38,34.00,28.70,640,36,"30.44
",39.622942209243774
39,34.00,29.20,566,25,"33.95
",40.644591093063354
40,34.00,29.20,548,22,"31.81
",41.6121129989624
41,34.00,29.20,545,22,"31.81
",42.60508179664612
42,31.00,30.10,524,18,"32.51
",43.62469172477722
43,31.00,30.10,506,16,"33.22
",44.592501401901245
44,31.00,30.10,495,14,"33.22
",45.58528137207031
45,31.00,31.20,481,12,"33.22
",46.60284447669983
46,31.00,31.20,473,11,"33.95
",47.570621490478516
47,31.00,31.20,462,9,"33.95
",48.562769412994385
48,31.00,31.10,459,8,"33.95
",49.581093072891235
49,31.00,31.10,466,10,"33.95
",50.549941539764404
50,31.00,31.10,481,12,"34.69
",51.54148888587952
51,30.00,31.20,485,12,"33.22
",52.56108212471008
52,30.00,31.20,491,13,"34.69
",53.528754472732544
53,30.00,31.20,476,11,"34.69
",54.521867990493774
54,29.00,31.00,466,10,"34.69
",55.53859329223633
55,29.00,31.00,456,8,"34.69
",56.50472402572632
56,29.00,31.00,462,9,"34.69
",57.497923851013184
57,29.00,31.20,447,7,"34.69
",58.51695775985718
58,29.00,31.20,447,7,"35.70
",59.484665632247925
59,29.00,31.20,462,9,"35.70
",60.476431369781494
60,28.00,31.70,462,9,"35.70
",61.49533176422119
61,28.00,31.70,456,8,"35.70
",62.4633412361145
62,28.00,31.70,444,6,"35.70
",63.453824520111084
63,25.00,34.00,456,8,"35.70
",64.47211790084839
64,25.00,34.00,495,14,"35.70
",65.44293165206909
65,25.00,34.00,456,8,"34.69
",66.43485713005066
66,23.00,36.10,438,5,"34.69
",67.45361971855164
67,23.00,36.10,422,3,"34.69
",68.41985964775085
68,23.00,36.10,422,3,"34.69
",69.41091346740723
69,22.00,35.90,422,3,"34.69
",70.43158268928528
70,22.00,35.90,417,2,"34.69
",71.39990878105164
71,22.00,35.90,417,2,"34.69
",72.3915662765503
72,21.00,35.70,414,2,"34.69
",73.41095924377441
73,21.00,35.70,414,2,"33.95
",74.37907814979553
74,21.00,35.70,414,2,"33.95
",75.369797706604
75,21.00,35.80,417,2,"33.95
",76.38909411430359
76,21.00,35.80,417,2,"33.95
",77.35382151603699
77,21.00,35.80,411,1,"33.95
",78.34836435317993
78,21.00,35.60,411,1,"33.22
",79.3665783405304
79,21.00,35.60,408,1,"37.25
",80.33583641052246
80,21.00,35.60,411,1,"33.22
",81.33010077476501
81,21.00,35.40,408,1,"33.22
",82.34792637825012
82,21.00,35.40,403,0,"33.22
",83.31501603126526
83,21.00,35.40,403,0,"32.51
",84.30680656433105
84,21.00,35.10,403,0,"30.44
",85.326575756073
85,21.00,35.10,400,0,"32.51
",86.29538321495056
86,21.00,35.10,402,0,"32.51
",87.28791904449463
87,21.00,34.90,402,0,"32.51
",88.30570888519287
88,21.00,34.90,400,0,"32.51
",89.27322387695312
89,21.00,34.90,400,0,"31.81
",90.26646161079407
90,22.00,34.70,400,0,"31.81
",91.28415560722351
91,22.00,34.70,400,0,"31.81
",92.25296545028687
92,22.00,34.70,403,0,"31.81
",93.24665188789368
93,22.00,34.40,406,0,"31.81
",94.26481199264526
94,22.00,34.40,400,0,"31.81
",95.23281812667847
95,22.00,34.40,400,0,"31.81
",96.22503542900085
96,22.00,34.40,400,0,"31.12
",97.24439191818237
97,22.00,34.40,400,0,"31.81
",98.2121160030365
98,22.00,34.40,400,0,"31.12
",99.20502138137817
99,23.00,34.10,400,0,"31.12
",100.22498965263367
100,23.00,34.10,400,0,"31.12
",101.19139528274536
101,23.00,34.10,400,0,"31.12
",102.18415904045105
102,23.00,33.50,400,0,"31.12
",103.20337724685669
103,23.00,33.50,400,0,"31.12
",104.17248106002808
104,23.00,33.50,400,0,"30.44
",105.16328382492065
105,23.00,33.20,400,0,"28.90
",106.18322157859802
106,23.00,33.20,400,0,"30.44
",107.15172362327576
107,23.00,33.20,400,0,"30.44
",108.14400339126587
108,24.00,33.10,400,0,"30.44
",109.1631989479065
109,24.00,33.10,400,0,"31.12
",110.13076686859131
110,24.00,33.10,402,0,"30.44
",111.1249430179596
111,24.00,33.00,425,3,"30.44
",112.1434600353241
112,24.00,33.00,425,3,"30.44
",113.11122798919678
113,24.00,33.00,432,4,"29.56
",114.10591959953308
114,24.00,32.70,432,4,"30.44
",115.12317681312561
115,24.00,32.70,425,3,"29.56
",116.09183597564697
116,24.00,32.70,432,4,"29.56
",117.0850043296814
117,24.00,32.50,435,5,"29.56
",118.10413765907288
118,24.00,32.50,432,4,"29.56
",119.06882286071777
119,24.00,32.50,435,5,"29.56
",120.06445503234863
120,24.00,32.20,435,5,"29.56
",121.08372020721436
121,24.00,32.20,432,4,"29.56
",122.0523931980133
122,24.00,32.20,432,4,"29.56
",123.04376268386841
123,25.00,32.00,425,3,"29.56
",124.06176590919495
124,25.00,32.00,425,3,"28.26
",125.03166770935059
125,25.00,32.00,425,3,"28.90
",126.02294635772705
126,25.00,31.70,425,3,"28.90
",127.0421872138977
127,25.00,31.70,425,3,"28.90
",128.01119685173035
128,25.00,31.70,425,3,"26.39
",129.00458693504333
129,26.00,31.50,432,4,"28.90
",130.02421259880066
130,26.00,31.50,425,3,"28.90
",130.990581035614
131,26.00,31.50,432,4,"28.90
",131.9857988357544
132,26.00,31.40,425,3,"28.90
",133.00429368019104
133,26.00,31.40,425,3,"28.90
",133.97253823280334
134,26.00,31.40,425,3,"28.90
",134.96413922309875
135,25.00,30.90,425,3,"28.90
",135.9844264984131
136,25.00,30.90,435,5,"28.90
",136.95311975479126
137,25.00,30.90,441,6,"28.90
",137.9465229511261
138,26.00,30.80,435,5,"28.90
",138.9632956981659
139,26.00,30.80,450,7,"29.56
",139.93313431739807
140,26.00,30.80,463,9,"30.44
",140.92400765419006
141,25.00,34.30,545,22,"31.81
",141.9474914073944
142,25.00,34.30,518,17,"31.81
",142.91496634483337
143,25.00,34.30,483,12,"31.81
",143.90778517723083
144,24.00,34.70,478,11,"32.51
",144.925940990448
145,24.00,34.70,476,11,"33.22
",145.89262580871582
146,24.00,34.70,476,11,"33.22
",146.88879013061523
147,22.00,35.90,1131,111,"33.22
",147.9064028263092
148,22.00,35.90,940,82,"33.22
",148.8714141845703
149,22.00,35.90,975,87,"33.22
",149.8601508140564
150,25.00,36.00,3485,469,"33.22
",150.8835666179657
151,25.00,36.00,1313,139,"33.95
",151.8539228439331
152,25.00,36.00,951,83,"33.95
",152.845281124115
153,27.00,36.00,2128,263,"33.95
",153.86466360092163
154,27.00,36.00,1616,185,"33.95
",154.8339467048645
155,27.00,36.00,7992,1156,"33.22
",155.82642483711243
156,28.00,36.00,3044,402,"33.95
",156.8423821926117
157,28.00,36.00,2734,355,"33.22
",157.81200861930847
158,28.00,36.00,2001,243,"33.22
",158.80481243133545
159,29.00,35.80,2877,377,"33.95
",159.8222963809967
160,29.00,35.80,2537,325,"33.95
",160.79189562797546
161,29.00,35.80,1697,197,"33.95
",161.78308153152466
162,26.00,35.40,1003,91,"34.69
",162.8002507686615
163,26.00,35.40,837,66,"31.81
",163.76769757270813
164,26.00,35.40,731,50,"35.70
",164.76013255119324
165,24.00,35.50,666,40,"35.70
",165.7772731781006
166,24.00,35.50,640,36,"38.87
",166.74634885787964
167,24.00,35.50,634,35,"35.70
",167.73995733261108
168,22.00,35.40,629,34,"33.95
",168.75754642486572
169,22.00,35.40,604,31,"36.46
",169.72407245635986
170,22.00,35.40,580,27,"35.70
",170.71797919273376
171,22.00,35.30,545,22,"37.25
",171.73516702651978
172,22.00,35.30,520,18,"35.70
",172.70266222953796
