,humidity,temperature,CO2,TVOC,CCTEMP,time
0,,,400.0,0.0,25.0,0.17676162719726562
1,,,400.0,0.0,25.0,1.2145957946777344
2,,,403.0,0.0,25.0,2.16513729095459
3,,,403.0,0.0,25.0,3.1588399410247803
4,,,435.0,5.0,25.8,4.195925951004028
5,,,553.0,23.0,25.0,5.146224021911621
6,,,821.0,64.0,25.0,6.140685796737671
7,95.0,26.1,1081.0,103.0,-59.7,7.1718339920043945
8,95.0,26.1,923.0,79.0,25.8,8.222076177597046
9,95.0,26.1,923.0,79.0,25.0,9.127145767211914
10,43.0,24.9,715.0,47.0,25.0,10.144989013671875
11,43.0,24.9,588.0,28.0,25.0,11.114586591720581
12,43.0,24.9,530.0,19.0,25.0,12.108398199081421
13,42.0,25.2,497.0,14.0,25.0,13.126598358154297
14,42.0,25.2,450.0,7.0,25.0,14.093966484069824
15,42.0,25.2,439.0,5.0,25.0,15.087989330291748
16,41.0,24.9,2324.0,293.0,25.0,16.1078097820282
17,41.0,24.9,7992.0,1156.0,25.8,17.079548358917236
18,41.0,24.9,7992.0,1156.0,25.8,18.07379961013794
19,71.0,24.9,7582.0,1094.0,25.8,19.092101573944092
20,71.0,24.9,5483.0,774.0,24.41,20.05799913406372
21,71.0,24.9,7992.0,1156.0,25.8,21.05394673347473
22,95.0,25.6,4813.0,672.0,25.8,22.071911096572876
23,95.0,25.6,7567.0,1091.0,25.8,23.04016900062561
24,95.0,25.6,7992.0,1156.0,25.8,24.033439874649048
25,95.0,25.5,7992.0,1156.0,25.8,25.051519632339478
26,95.0,25.5,7992.0,1156.0,26.41,26.022032737731934
27,95.0,25.5,7215.0,1038.0,26.41,27.015467882156372
28,95.0,25.8,7334.0,1056.0,26.41,28.034706830978394
29,95.0,25.8,6117.0,870.0,26.41,29.002095937728882
30,95.0,25.8,4214.0,581.0,26.41,29.993746995925903
31,95.0,25.8,7992.0,1156.0,26.41,31.015361785888672
32,95.0,25.8,4214.0,581.0,26.41,31.980441093444824
33,95.0,25.8,2900.0,380.0,26.41,32.97603416442871
34,95.0,26.2,5471.0,772.0,26.41,33.994686126708984
35,95.0,26.2,3476.0,468.0,26.41,34.963298082351685
36,95.0,26.2,3607.0,488.0,26.41,35.95439052581787
37,95.0,26.8,6219.0,886.0,26.41,36.97440576553345
38,95.0,26.8,4158.0,572.0,26.41,37.94575881958008
39,95.0,26.8,4102.0,563.0,26.41,38.93723154067993
40,95.0,27.0,2523.0,323.0,26.41,39.95684051513672
41,95.0,27.0,1951.0,236.0,26.41,40.92541837692261
42,95.0,27.0,1685.0,195.0,25.0,41.918954610824585
43,95.0,27.1,1255.0,130.0,26.41,42.937065839767456
44,95.0,27.1,1075.0,102.0,26.41,43.90546369552612
45,95.0,27.1,1075.0,102.0,26.41,44.89980721473694
46,95.0,27.2,996.0,90.0,26.41,45.91556429862976
47,95.0,27.2,876.0,72.0,26.41,46.8838255405426
48,95.0,27.2,891.0,74.0,26.41,47.878398180007935
49,95.0,27.2,816.0,63.0,26.41,48.89673185348511
50,95.0,27.2,745.0,52.0,26.41,49.86567401885986
51,95.0,27.2,693.0,44.0,26.41,50.858827114105225
52,95.0,26.8,693.0,44.0,25.0,51.876282930374146
53,95.0,26.8,610.0,31.0,26.41,52.843745470047
54,95.0,26.8,542.0,21.0,26.41,53.83942246437073
55,95.0,26.7,518.0,17.0,25.8,54.85977530479431
56,95.0,26.7,497.0,14.0,26.41,55.82546257972717
57,95.0,26.7,490.0,13.0,26.41,56.82068681716919
58,95.0,26.5,483.0,12.0,25.8,57.840484857559204
59,95.0,26.5,477.0,11.0,25.8,58.807847023010254
60,95.0,26.5,472.0,10.0,25.8,59.80107092857361
61,95.0,26.4,466.0,10.0,25.8,60.82102918624878
62,95.0,26.4,466.0,10.0,25.8,61.78918528556824
63,95.0,26.4,466.0,10.0,25.8,62.78250026702881
64,86.0,26.3,463.0,9.0,25.8,63.80023789405823
65,86.0,26.3,459.0,8.0,26.41,64.7679512500763
66,86.0,26.3,457.0,8.0,25.8,65.76316261291504
67,77.0,26.2,456.0,8.0,25.8,66.78095817565918
68,77.0,26.2,456.0,8.0,25.8,67.74960613250732
69,77.0,26.2,457.0,8.0,25.8,68.74319553375244
70,70.0,26.2,456.0,8.0,25.8,69.76051735877991
71,70.0,26.2,475.0,11.0,27.67,70.72900223731995
72,70.0,26.2,480.0,12.0,25.8,71.72360277175903
73,60.0,26.1,466.0,10.0,25.8,72.7449893951416
74,60.0,26.1,4214.0,581.0,25.8,73.71201825141907
75,60.0,26.1,4319.0,597.0,25.8,74.70918321609497
76,56.0,26.1,6219.0,886.0,25.8,75.7269139289856
77,56.0,26.1,5561.0,786.0,25.8,76.69666719436646
78,56.0,26.1,6032.0,858.0,25.8,77.68967390060425
79,95.0,26.2,4874.0,681.0,26.41,78.70521569252014
80,95.0,26.2,5237.0,736.0,25.8,79.67628836631775
81,95.0,26.2,5832.0,827.0,26.41,80.66838097572327
82,95.0,26.2,1756.0,206.0,25.8,81.68858861923218
83,95.0,26.2,982.0,88.0,25.8,82.6553840637207
