raw_data,distance
70319,1195.423
70314,1195.3380000000002
70314,1195.3380000000002
70309,1195.2530000000002
70318,1195.4060000000002
70314,1195.3380000000002
70313,1195.3210000000001
70315,1195.355
70314,1195.3380000000002
70308,1195.236
70310,1195.27
70315,1195.355
70321,1195.457
70318,1195.4060000000002
70316,1195.372
70309,1195.2530000000002
70310,1195.27
70310,1195.27
70311,1195.287
70318,1195.4060000000002
70316,1195.372
70302,1195.134
70318,1195.4060000000002
70310,1195.27
70312,1195.304
70311,1195.287
70321,1195.457
70324,1195.508
70318,1195.4060000000002
70311,1195.287
70317,1195.3890000000001
70309,1195.2530000000002
70318,1195.4060000000002
70316,1195.372
70315,1195.355
70315,1195.355
70308,1195.236
70315,1195.355
70313,1195.3210000000001
70312,1195.304
70311,1195.287
70316,1195.372
70312,1195.304
70306,1195.202
70311,1195.287
70311,1195.287
70312,1195.304
70306,1195.202
70315,1195.355
70312,1195.304
70307,1195.219
70317,1195.3890000000001
70310,1195.27
70314,1195.3380000000002
70317,1195.3890000000001
70310,1195.27
70316,1195.372
70316,1195.372
70313,1195.3210000000001
70312,1195.304
70307,1195.219
70302,1195.134
70315,1195.355
70312,1195.304
70306,1195.202
70308,1195.236
70314,1195.3380000000002
70316,1195.372
70316,1195.372
70314,1195.3380000000002
70318,1195.4060000000002
70317,1195.3890000000001
70315,1195.355
70313,1195.3210000000001
70309,1195.2530000000002
70310,1195.27
70308,1195.236
70321,1195.457
70312,1195.304
70312,1195.304
70312,1195.304
70311,1195.287
70312,1195.304
70302,1195.134
70306,1195.202
70306,1195.202
70305,1195.1850000000002
70308,1195.236
70307,1195.219
70310,1195.27
70305,1195.1850000000002
70312,1195.304
70314,1195.3380000000002
70311,1195.287
70312,1195.304
70313,1195.3210000000001
70321,1195.457
70307,1195.219
70312,1195.304
70312,1195.304
70298,1195.066
