,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
143,57675,65426,64997,65400,65478,37,61153
144,57676,65428,64988,65400,65479,34,61154
145,57671,65433,65002,65400,65477,36,61153
146,57676,65433,65003,65401,65476,36,61153
147,57679,65431,65002,65400,65476,35,61154
148,57672,65432,65014,65400,65476,37,61155
149,57671,65439,65006,65399,65477,34,61152
150,57669,65431,64987,65401,65478,36,61153
151,57672,65435,64991,65399,65476,37,61151
152,57670,65438,64994,65400,65475,37,61152
153,57674,65436,64991,65398,65476,37,61154
154,57671,65434,64995,65399,65477,34,61153
155,57675,65441,65004,65399,65476,33,61151
156,57676,65433,64997,65400,65478,35,61151
157,57676,65439,65007,65401,65478,36,61148
158,57675,65436,65007,65401,65476,35,61152
159,57673,65434,64996,65400,65476,37,61150
160,57672,65435,65006,65400,65475,38,61152
161,57669,65430,65001,65399,65475,36,61150
162,57669,65429,64996,65400,65475,36,61153
163,57666,65432,65000,65401,65475,34,61154
164,57679,65424,65000,65400,65474,37,61150
165,57671,65434,64993,65399,65475,38,61150
166,57677,65429,65000,65401,65476,36,61149
167,57678,65430,64997,65400,65475,36,61149
168,57679,65432,64994,65400,65474,36,61150
169,57673,65435,64996,65400,65476,36,61149
170,57679,65435,65002,65398,65478,37,61148
171,57680,65434,65012,65399,65478,35,61148
172,57676,65425,65006,65400,65477,35,61149
173,57676,65432,65003,65399,65477,36,61149
174,57674,65433,64991,65399,65476,38,61151
175,57680,65431,64992,65401,65476,37,61149
176,57676,65433,64999,65401,65477,37,61157
177,57679,65430,64990,65401,65477,36,61155
178,57667,65430,64995,65400,65475,38,61154
179,57676,65435,65003,65399,65475,37,61152
180,57682,65436,64996,65399,65477,36,61151
181,57679,65437,65000,65399,65475,34,61151
182,57676,65431,65000,65400,65476,36,61151
183,57674,65429,64996,65399,65476,36,61149
184,57676,65432,64989,65399,65476,39,61152
185,57676,65430,64990,65399,65476,37,61150
186,57671,65426,64996,65401,65477,36,61152
187,57676,65429,64998,65400,65476,38,61151
188,57673,65437,64998,65399,65476,35,61151
189,57675,65435,64999,65400,65478,36,61149
190,57674,65434,64998,65402,65476,38,61153
191,57673,65438,65007,65400,65476,35,61149
192,57685,65436,65003,65400,65477,36,61148
193,57685,65433,65003,65401,65478,34,61150
194,57675,65432,64988,65401,65477,37,61152
195,57676,65435,65004,65400,65477,39,61152
196,57668,65431,65001,65400,65476,37,61154
197,57676,65431,64995,65399,65477,37,61155
198,57674,65426,65008,65400,65476,35,61152
199,57672,65425,65007,65400,65478,37,61152
200,57671,65432,64999,65400,65477,38,61148
201,57674,65437,64996,65400,65476,37,61151
202,57668,65438,65002,65402,65477,35,61149
203,57669,65439,64993,65401,65475,33,61151
204,57677,65431,65002,65401,65476,37,61152
205,57676,65429,65008,65400,65477,37,61151
206,57671,65434,65002,65399,65477,35,61153
207,57675,65433,65004,65399,65476,35,61148
208,57672,65430,64992,65400,65475,37,61151
209,57676,65444,64993,65400,65477,37,61151
210,57674,65435,64997,65401,65480,37,61152
211,57669,65440,64994,65401,65478,35,61150
212,57674,65438,65002,65401,65475,36,61148
213,57675,65431,64999,65400,65475,35,61150
214,57673,65429,65000,65399,65476,35,61147
215,57674,65432,65022,65400,65477,36,61150
216,57679,65432,64996,65400,65475,36,61148
217,57676,65438,64998,65400,65476,35,61153
218,57678,65434,64999,65399,65475,35,61151
219,57673,65433,64986,65398,65477,36,61149
220,57675,65435,64995,65400,65476,38,61150
221,57680,65430,64997,65401,65476,36,61147
222,57681,65438,64986,65401,65476,36,61148
223,57678,65433,65000,65401,65477,36,61150
224,57667,65435,65002,65399,65476,35,61148
225,57660,65424,65000,65401,65476,36,61146
226,57664,65429,64998,65399,65475,35,61149
227,57669,65437,65001,65401,65475,35,61146
228,57679,65432,65001,65401,65475,34,61148
229,57677,65428,65001,65400,65476,36,61147
230,57670,65432,64990,65399,65476,34,61145
231,57674,65425,64994,65400,65475,36,61144
232,57672,65433,64999,65400,65477,37,61144
233,57693,65434,64992,65401,65478,35,61147
234,57678,65442,64999,65401,65478,36,61148
235,57672,65435,64999,65399,65477,38,61146
236,57679,65429,64990,65400,65477,36,61144
237,57673,65430,65013,65400,65477,36,61146
238,57673,65431,64997,65399,65477,38,61148
239,57675,65434,65003,65399,65477,37,61146
240,57666,65432,64994,65400,65478,36,61148
241,57659,65429,64987,65402,65477,36,61150
242,57674,65425,64999,65400,65478,36,61149
243,57671,65426,64991,65400,65476,36,61149
244,57676,65426,64995,65398,65477,35,61150
245,57670,65430,65007,65400,65476,37,61152
246,57690,65437,65003,65400,65478,37,61152
