,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
156,173,65535,1840,65266,65416,76,61155
157,172,65534,1840,65267,65413,75,61150
158,172,65535,1838,65266,65414,74,61151
159,170,65534,1840,65266,65415,69,61155
160,171,0,1842,65266,65416,70,61156
161,171,2,1841,65264,65417,71,61153
162,171,2,1839,65265,65413,70,61153
163,171,0,1838,65265,65410,72,61148
164,171,65534,1842,65263,65413,71,61148
165,170,1,1840,65265,65416,73,61152
166,171,65535,1840,65267,65416,70,61153
167,172,65535,1839,65263,65415,73,61155
168,172,1,1843,65267,65412,73,61156
169,172,0,1841,65266,65419,71,61154
170,171,1,1838,65266,65417,73,61154
171,173,0,1841,65267,65416,73,61155
172,171,0,1841,65265,65415,74,61156
173,170,65535,1839,65266,65414,75,61153
174,172,0,1838,65267,65417,73,61153
175,174,0,1838,65268,65411,73,61154
176,172,0,1840,65270,65413,70,61156
177,171,0,1840,65268,65415,71,61157
178,172,1,1839,65268,65418,70,61155
179,171,1,1840,65269,65418,72,61155
180,172,1,1840,65268,65415,71,61154
181,171,2,1838,65268,65415,69,61154
182,171,65535,1841,65266,65416,76,61158
183,174,65535,1838,65265,65415,74,61155
184,171,0,1840,65265,65414,69,61154
185,171,0,1840,65266,65416,71,61157
186,174,1,1839,65264,65415,68,61156
187,173,1,1841,65266,65414,67,61155
188,171,0,1840,65266,65416,70,61155
189,171,1,1841,65266,65415,71,61156
190,171,1,1840,65269,65415,72,61160
191,171,1,1841,65267,65416,72,61156
192,172,0,1841,65268,65415,74,61154
193,172,0,1840,65266,65415,74,61157
194,174,65535,1839,65267,65415,72,61155
195,173,65534,1838,65267,65416,74,61156
196,173,65535,1835,65265,65413,73,61156
197,173,65535,1838,65269,65416,70,61155
198,174,65534,1837,65268,65418,72,61154
199,172,0,1840,65266,65416,74,61155
200,171,1,1842,65260,65414,71,61154
201,173,2,1842,65265,65417,70,61158
202,173,1,1837,65266,65417,71,61160
203,172,0,1836,65263,65415,73,61157
204,173,65535,1838,65264,65410,70,61155
205,173,0,1839,65266,65419,71,61155
206,171,0,1841,65269,65419,70,61157
207,172,65535,1838,65265,65416,69,61157
208,172,2,1841,65266,65415,75,61156
209,172,3,1843,65264,65422,74,61155
210,173,1,1841,65266,65417,70,61153
211,171,2,1840,65267,65415,73,61154
212,171,1,1839,65266,65416,73,61155
213,172,1,1841,65264,65414,75,61158
214,172,0,1842,65266,65416,74,61157
215,171,0,1840,65268,65414,74,61157
216,172,65534,1836,65268,65414,73,61157
217,172,0,1837,65265,65412,74,61159
218,172,65534,1840,65266,65416,70,61158
219,174,65535,1840,65266,65415,73,61154
220,172,65535,1840,65268,65419,71,61157
221,173,2,1839,65266,65418,71,61158
222,174,2,1841,65268,65414,74,61157
223,173,2,1839,65267,65413,73,61156
224,174,1,1841,65266,65412,68,61156
225,171,1,1838,65265,65413,70,61156
226,171,2,1837,65266,65416,69,61157
227,171,2,1837,65268,65414,67,61156
228,172,0,1837,65266,65416,71,61158
229,173,0,1841,65267,65419,73,61158
230,172,65535,1840,65267,65416,68,61160
231,172,65535,1839,65267,65415,70,61159
232,171,0,1843,65267,65416,72,61156
233,173,0,1840,65269,65416,73,61159
234,173,0,1842,65267,65413,73,61158
235,173,0,1841,65267,65414,72,61155
236,173,2,1837,65263,65412,68,61157
237,173,65535,1837,65264,65416,71,61158
238,172,65535,1837,65266,65417,73,61155
239,172,65535,1838,65268,65416,71,61157
240,173,0,1841,65267,65413,70,61157
241,175,65535,1843,65267,65415,70,61159
242,174,1,1841,65268,65416,72,61159
243,174,0,1840,65265,65417,73,61157
244,173,65535,1839,65266,65418,69,61157
245,172,65535,1837,65268,65415,73,61156
246,173,1,1840,65268,65415,71,61156
247,172,65535,1840,65268,65414,74,61155
248,172,1,1842,65264,65417,78,61154
249,172,1,1842,65264,65416,73,61156
250,173,0,1841,65267,65414,70,61156
251,172,65535,1838,65265,65415,75,61158
252,172,1,1841,65265,65412,72,61154
253,172,1,1839,65265,65413,72,61152
254,173,65535,1836,65267,65412,71,61153
255,172,1,1838,65269,65410,69,61152
256,172,65535,1843,65267,65414,74,61153
257,173,65534,1838,65267,65414,71,61154
258,174,0,1841,65268,65416,74,61152
259,173,0,1840,65263,65418,73,61156
260,171,1,1838,65264,65419,69,61157
261,171,1,1840,65265,65418,67,61157
262,172,65535,1841,65266,65421,71,61154
263,172,65535,1840,65266,65419,71,61156
264,173,0,1841,65267,65415,72,61155
265,173,0,1839,65265,65418,71,61155
