filter_setting,acc_setting,file_count,orientation,gyro_setting,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
10HZ,2G,1,negative,250,-15156.356356356357,-10.422422422422422,753.7597597597597,-4622.711711711711,23.0,-348.7607607607608,-153.4184184184184,140.04804804804806
184HZ,2G,1,negative,250,-15150.950950950952,-10.946946946946946,744.5885885885886,-4753.915915915916,22.71771771771772,-345.9079079079079,-153.87187187187186,138.41741741741743
21HZ,2G,1,negative,250,-15154.226226226227,-11.97997997997998,750.2202202202202,-4662.614614614615,23.0,-347.5365365365365,-152.93093093093094,140.04804804804806
260HZ,2G,1,negative,250,-15152.768768768768,-10.94094094094094,743.6416416416416,-4777.6366366366365,22.0,-346.27827827827826,-153.06006006006007,139.14014014014015
44HZ,2G,1,negative,250,-15155.703703703704,-11.24924924924925,750.3483483483484,-4699.722722722723,23.0,-346.82382382382383,-152.4144144144144,139.66266266266265
5HZ,2G,1,negative,250,-15152.92092092092,-9.715715715715715,756.8808808808809,-4608.287287287288,23.0,-348.995995995996,-152.45045045045046,140.1891891891892
94HZ,2G,1,negative,250,-15152.820820820822,-14.796796796796796,747.5495495495495,-4725.024024024024,23.0,-345.92792792792795,-152.63463463463464,138.62962962962962
